temperature,rate_3_diff_reaction_0_conversion,rate_3_diff_reaction_1_conversion,rate_3_diff_reaction_2_conversion,rate_3_diff_reaction_3_conversion,rate_5_diff_reaction_0_conversion,rate_5_diff_reaction_1_conversion,rate_5_diff_reaction_2_conversion,rate_5_diff_reaction_3_conversion,rate_10_diff_reaction_0_conversion,rate_10_diff_reaction_1_conversion,rate_10_diff_reaction_2_conversion,rate_10_diff_reaction_3_conversion
169.69559,0.004363432519486465,1.2428530970096422e-06,3.893056012512765e-52,5.619328664971023e-18,0.0010865207350160165,2.2490746176928936e-06,4.808079490599917e-68,7.216698510685217e-22,0.0007286197304312845,2.28161517355202e-06,3.9127658227858355e-94,8.466488915775537e-17
170.6505,0.00459971078906838,1.3673211129246213e-06,7.695196868747573e-52,6.829583754946189e-18,0.001149181935089886,2.4354138889391914e-06,1.0649946421737706e-67,8.921875662914264e-22,0.000766146636537244,2.4427105935568637e-06,1.017081868502904e-93,9.703080617886122e-17
171.60542,0.004848689952603218,1.5043132397577536e-06,1.5241430629213606e-51,8.299029917731235e-18,0.0012154479396906037,2.6376795936253434e-06,2.3610739566634103e-67,1.1040734846157458e-21,0.0008056023059162292,2.6143298349690588e-06,2.64167239154124e-93,1.1121039102972924e-16
172.56033,0.005111042850384382,1.6550664267355232e-06,3.0130730318133124e-51,1.0084103919179924e-17,0.0012855251353925629,2.8558717317513497e-06,5.2412502110848326e-67,1.3643904699856243e-21,0.0008470855811714911,2.798901471959533e-06,6.872116126417646e-93,1.2745096205078158e-16
173.51525,0.005387477151694554,1.8205083857777937e-06,5.97351858399614e-51,1.2257964529843436e-17,0.0013596316809332957,3.0931755900051818e-06,1.1599375150090613e-66,1.6872642502893492e-21,0.0008907003388315509,2.9964255045282855e-06,1.7836224741067737e-92,1.4608227702924773e-16
174.47016,0.005678736450474571,2.002958396684223e-06,1.1807337760356417e-50,1.4891680269685763e-17,0.001437998005506092,3.3495911683868393e-06,2.5701370207116257e-66,2.086820553415209e-21,0.000936555726240802,3.2085209821226025e-06,4.6372945792896746e-92,1.6751653319916453e-16
175.42508,0.005985602689075773,2.2039626459879156e-06,2.3329856233068013e-50,1.8089763668065737e-17,0.0015208677119153734,3.626711110240307e-06,5.694856542017886e-66,2.5792030683783895e-21,0.0009847664576727595,3.4351879047424827e-06,1.2046829168185627e-91,1.920422686243578e-16
176.37999,0.006308897220726789,2.425067320221978e-06,4.614270137047686e-50,2.1977629760213935e-17,0.0016084980125827355,3.927720702253556e-06,1.2623582437088287e-65,3.1886273287016704e-21,0.0010354530512206622,3.678045321835212e-06,3.129659977244572e-91,2.200716805388644e-16
177.33491,0.0066494833328921525,2.667818605919515e-06,9.112986417325513e-50,2.6701596087232715e-17,0.001701160788418764,4.252619944426588e-06,2.7975465302636433e-65,3.941326829034729e-21,0.0010887422137446996,3.93709323340079e-06,8.136102267039136e-91,2.5222306479373957e-16
178.28982,0.007008267508951604,2.935308876146737e-06,1.802334704987579e-49,3.244978520196796e-17,0.0017991431494022321,4.604594123447372e-06,6.193980792553057e-65,4.873624869661735e-21,0.0011447669889286364,4.215569738333786e-06,2.112782000905603e-90,2.8911471724003865e-16
179.24474,0.007386202150771231,3.2290843174367504e-06,3.5669924458965585e-49,3.943122216313731e-17,0.0019027484311653397,4.985235882659894e-06,1.3720479117786395e-64,6.025880673120653e-21,0.0012036672310610148,4.5134748366342005e-06,5.492130546516933e-90,3.3136493372881694e-16
180.19965,0.007784286939989031,3.5522373028557646e-06,7.04986956611165e-49,4.791763954707371e-17,0.002012296911289354,5.397730508752125e-06,3.043093568825031e-64,7.450561228710838e-21,0.001265589841925756,4.832427577749318e-06,1.427843676510639e-89,3.797981087281482e-16
181.15457,0.008203571693394399,3.907860205469991e-06,1.395757585453825e-48,5.824347744772538e-17,0.0021281269927495815,5.845263288412035e-06,6.738414046195911e-64,9.212241292493038e-21,0.0013306892445833615,5.174047011126424e-06,3.708278139512062e-89,4.35238636706106e-16
182.10948,0.008645157790617869,4.29904539834564e-06,2.762786855138248e-48,7.078498097078409e-17,0.002250595889067719,6.329426864983611e-06,1.4944199223887136e-63,1.139163930954318e-20,0.0013991275314275391,5.538333136765518e-06,9.640912252918621e-89,4.987170107477826e-16
183.0644,0.009110201295127287,4.730431441082027e-06,5.4649190209051235e-48,8.602290775130044e-17,0.0023800809011866935,6.853406525154823e-06,3.312191539566007e-63,1.4075527608317894e-20,0.0014710751452456801,5.928524053561169e-06,2.5035722294036903e-88,5.716759211723071e-16
184.01931,0.009599914381917566,5.205110706745364e-06,1.0805330605234931e-47,1.0454252795368379e-16,0.002516980289482744,7.420387555613643e-06,7.333569706116672e-63,1.7405163467700058e-20,0.0015467109680528358,6.346238810960663e-06,6.508726061239341e-88,6.551458610647716e-16
184.97423,0.010115568823729807,5.72617556840186e-06,2.1370057869887377e-47,1.2711723429518948e-16,0.002661714612926839,8.035147886392026e-06,1.624581321036409e-62,2.152180416657255e-20,0.0016262230613748436,6.794715507858569e-06,1.689709381256306e-87,7.507756193613235e-16
185.92914,0.010658497252730615,6.299810772183938e-06,4.226732059117793e-47,1.5449951698720098e-16,0.0028147276322400467,8.700872804177944e-06,3.6026646353937633e-62,2.6607066206356215e-20,0.0017098088143049546,7.273954144254888e-06,4.3931882177453705e-87,8.604200836151286e-16
186.88406,0.011230096945550022,6.930654877690914e-06,8.348136651372318e-47,1.8773450132330657e-16,0.002976487929344553,9.420747595659367e-06,7.977271965222527e-62,3.2903104922278853e-20,0.0017976756541756352,7.787192819044189e-06,1.140220742345776e-86,9.861402399963713e-16
187.83897,0.011831831217769134,7.6252513463308875e-06,1.6532897883877782e-46,2.280763376558121e-16,0.00314748981051903,1.0201142834212237e-05,1.77046596924194e-61,4.0672255260837233e-20,0.0018900413426718194,8.336050581673755e-06,2.965068956975894e-86,1.1302031732922543e-15
188.79389,0.012465233242160137,8.389444763199e-06,3.272827649287796e-46,2.7719722645445875e-16,0.003328255050422809,1.1046836449868511e-05,3.9224467178285117e-61,5.029792983614203e-20,0.0019871346568913852,8.92376553103816e-06,7.696156920831755e-86,1.2954942641410359e-15
189.7488,0.01313190747637605,9.230208429559553e-06,6.465465009484963e-46,3.3676936818898763e-16,0.0035193338886811165,1.1961013729316159e-05,8.704626159132004e-61,6.21837208735729e-20,0.002089195715069732,9.55357576603197e-06,2.001200495372638e-85,1.4848988931809735e-15
190.70372,0.013833533813211592,1.0155212976803282e-05,1.2792691777875712e-45,4.090920385052929e-16,0.003721307023055553,1.2951637889275106e-05,1.927432958337666e-60,7.687447787739238e-20,0.002196476805696883,1.0228719385549758e-05,5.205323560841159e-85,1.7013024410503255e-15
191.65863,0.014571868809080405,1.1172899037214415e-05,2.530202543464825e-45,4.970915882254216e-16,0.003934786637172625,1.4025079503121299e-05,4.269614025612445e-60,9.505630763074589e-20,0.0023092426540194124,1.0950815439038804e-05,1.3516017761900134e-84,1.950681767642627e-15
192.61355,0.015348750066690535,1.2292554553297309e-05,5.005947696417719e-45,6.041124182888559e-16,0.004160418611697236,1.5186116500886691e-05,9.459365578390666e-60,1.174556761393168e-19,0.002427771339991524,1.1723102025393684e-05,3.511881624236367e-84,2.235097859128061e-15
193.56846,0.016166097430319576,1.352439363328966e-05,9.91099964072064e-45,7.341260048112313e-16,0.004398883583204516,1.6444304742635197e-05,2.0980070596076356e-59,1.453035396905131e-19,0.0025523546239996264,1.2550436292956248e-05,9.119096988806277e-84,2.562794660187366e-15
194.52338,0.017025917401692237,1.4879657053287146e-05,1.960500762531931e-44,8.919399241430534e-16,0.0046508993733563285,1.7806014801742756e-05,4.649408477439442e-59,1.7960887884778387e-19,0.002683298924036062,1.3436056340621065e-05,2.3712876263557428e-83,2.9378941431609094e-15
195.47829,0.017930304235649203,1.637071121318154e-05,3.8760831786502316e-44,1.0838249280458515e-15,0.004917222172346252,1.9280802538273282e-05,1.0301075089889026e-58,2.219860625126478e-19,0.0028209257302576614,1.4384819316729993e-05,6.151151555150638e-83,3.3665792665592452e-15
196.43321,0.01888144458843934,1.8011153277344973e-05,7.678224034885041e-44,1.3179329938096142e-15,0.005198649154935828,2.087344588225873e-05,2.282712464921238e-58,2.7445305181200306e-19,0.0029655725525481427,1.53999633201776e-05,1.6013842866045926e-82,3.859154961233294e-15
