temperature,rate_3_diff_reaction_0_conversion,rate_3_diff_reaction_1_conversion,rate_3_diff_reaction_2_conversion,rate_3_diff_reaction_3_conversion,rate_3_diff_reaction_4_conversion,rate_3_diff_reaction_5_conversion,rate_3_diff_reaction_6_conversion,rate_3_diff_reaction_7_conversion,rate_5_diff_reaction_0_conversion,rate_5_diff_reaction_1_conversion,rate_5_diff_reaction_2_conversion,rate_5_diff_reaction_3_conversion,rate_5_diff_reaction_4_conversion,rate_5_diff_reaction_5_conversion,rate_5_diff_reaction_6_conversion,rate_5_diff_reaction_7_conversion,rate_10_diff_reaction_0_conversion,rate_10_diff_reaction_1_conversion,rate_10_diff_reaction_2_conversion,rate_10_diff_reaction_3_conversion,rate_10_diff_reaction_4_conversion,rate_10_diff_reaction_5_conversion,rate_10_diff_reaction_6_conversion,rate_10_diff_reaction_7_conversion
39.02515,4.764164230159132e-06,1.4207459192621753e-11,8.40133626034825e-13,6.00390526996878e-14,9.185978453047372e-11,8.369159897486387e-131,4.899590128145696e-35,7.242573307355478e-37,5.147010635406932e-07,2.23368186316515e-11,1.197674624938392e-15,1.5938206224535177e-12,2.768261102576601e-10,1.4653824707056377e-177,6.556388983501216e-38,5.840966523032145e-32,5.809998823459963e-07,2.7547003746992037e-12,2.458120340516222e-13,3.16551549672494e-11,2.8963296794971234e-18,1.0885229502910885e-129,5.013072882125113e-41,2.234903188646151e-42
39.98006,5.386295449767752e-06,1.6671026490995567e-11,9.860710443559943e-13,7.045306636554617e-14,1.0488386939643231e-10,2.1756419717469246e-130,6.326325409278947e-35,9.346822318928836e-37,5.85500752492113e-07,2.5965634972240186e-11,1.4228038802372912e-15,1.8402789676126944e-12,3.1381212704439785e-10,4.840050680411214e-177,8.464891858415802e-38,7.240103853700793e-32,6.587399310502633e-07,3.202381492222642e-12,2.8575184109722614e-13,3.614973644175888e-11,3.3989848017999542e-18,2.409311321044228e-129,6.470137599464935e-41,2.8850883676549225e-42
40.93498,6.049254030663187e-06,1.945419170915842e-11,1.1498224198431279e-12,8.218661965117789e-14,1.1899329466788744e-10,5.65404110446042e-130,8.13239110245953e-35,1.2017599910541174e-36,6.616421059552129e-07,2.9999058012824833e-11,1.6811169275022131e-15,2.110533290925171e-12,3.5341561578835086e-10,1.596111637148641e-176,1.0884600860539651e-37,8.937205615900729e-32,7.419182171065492e-07,3.700830571527088e-12,3.30154196416082e-13,4.1019760282874174e-11,3.966676442120038e-18,5.347586899458821e-129,8.318748342169202e-41,3.7086562610660326e-42
41.88989,6.755956212937354e-06,2.2583588007092726e-11,1.3348135134896805e-12,9.538201584891147e-14,1.3424518352407578e-10,1.469330200855141e-129,1.0431020166507547e-34,1.541227513220332e-36,7.436683440498247e-07,3.4487663590904914e-11,1.977168404846141e-15,2.407983017841419e-12,3.958641827466683e-10,5.264785031790688e-176,1.395865370549136e-37,1.0988410035862484e-31,8.309804976748551e-07,4.2546628818653624e-12,3.79539730640069e-13,4.6286680340115606e-11,4.606018483645568e-18,1.1846248520773182e-128,1.0668024494355874e-40,4.75437075730514e-42
42.84481,7.508346156651528e-06,2.6112481704763325e-11,1.543099781891725e-12,1.1025917822870914e-13,1.5081090550270733e-10,3.814961194954702e-129,1.3346768856125103e-34,1.971969084392827e-36,8.31941613522503e-07,3.9482027543979946e-11,2.3161636129696277e-15,2.7343278610866736e-12,4.4127163104792476e-10,1.7357346116569003e-175,1.7857452435674012e-37,1.347144696528987e-31,9.263725299151829e-07,4.870032115574556e-12,4.344290744010667e-13,5.1993404312523835e-11,5.322522495700042e-18,2.629835315727493e-128,1.3646341802046083e-40,6.081832164448048e-42
43.79972,8.310312181928264e-06,3.0080822542143845e-11,1.7781069860427158e-12,1.2707684004934997e-13,1.6874758378301873e-10,9.91360177961356e-129,1.7049486609542348e-34,2.5205126301448558e-36,9.270051344930795e-07,4.5032725709549404e-11,2.7046091777483643e-15,3.094666958836643e-12,4.899224685135567e-10,5.723978859490763e-175,2.2805927747059687e-37,1.6477001231170673e-31,1.0280051623955322e-06,5.5546303880760335e-12,4.954916099400627e-13,5.817211297437936e-11,6.132723186253948e-18,5.826526010159003e-128,1.7427007522368351e-40,7.772313629870854e-42
44.75464,9.165742608890116e-06,3.455519341919035e-11,2.042575734737417e-12,1.4596436794022354e-13,1.881694647234833e-10,2.581812412984961e-128,2.174865440057647e-34,3.2129364501924985e-36,1.0293115903947476e-06,5.120297788448766e-11,3.150313050233179e-15,3.4907000238165615e-12,5.41987399836426e-10,1.889029801099358e-174,2.9090355070885575e-37,2.0117349285965956e-31,1.137661423755909e-06,6.31614981479116e-12,5.633967194980448e-13,6.486571402472285e-11,7.047643693954275e-18,1.2899443444844294e-127,2.2228260423558604e-40,9.917924720599798e-42
45.70955,1.007658159759836e-05,3.960217723585887e-11,2.340616941167974e-12,1.6730986178949845e-13,2.0919079468257433e-10,6.700969280671993e-128,2.7693384738631683e-34,4.0942031302531356e-36,1.1388609812275074e-06,5.805600386566909e-11,3.661083181474901e-15,3.925826481476901e-12,5.976940312736817e-10,6.235193404508055e-174,3.7065170655350095e-37,2.4522040882515404e-31,1.2544497996763102e-06,7.162282511141302e-12,6.385162820977842e-13,7.210638823783479e-11,8.078307157448017e-18,2.8595769010316387e-127,2.832610835956226e-40,1.2637866052786492e-41
46.66447,1.104768954820619e-05,4.528835689210546e-11,2.676341518526532e-12,1.913720548559538e-13,2.3192582001876522e-10,1.741077713665828e-127,3.5279992979578333e-34,5.2137715146158826e-36,1.2574640407241312e-06,6.56803113687178e-11,4.246679510287067e-15,4.405145469993369e-12,6.57440673775335e-10,2.055196762750141e-173,4.722113238257414e-37,2.9876763999889247e-31,1.379261804476739e-06,8.103797438716367e-12,7.225609412440272e-13,7.994777023751602e-11,9.235736715382168e-18,6.333824571925767e-127,3.6092840993840604e-40,1.6094683921183128e-41
47.61938,1.2078094380682969e-05,5.169363186787738e-11,3.0545455322039285e-12,2.1840968039836868e-13,2.5654591026976587e-10,4.5215085993545765e-127,4.4904794479286775e-34,6.634589223285072e-36,1.3851207688846199e-06,7.416440810925791e-11,4.9168619754832124e-15,4.932056414816436e-12,7.211704257770984e-10,6.784845389989017e-173,6.0103526788247595e-37,3.6354251641873736e-31,1.5129889524771984e-06,9.149925136021997e-12,8.155306969367739e-13,8.844349464756737e-11,1.0541978645050708e-17,1.4038423401319081e-126,4.591358556445703e-40,2.0483433879492335e-41
