temperature,rate_3,rate_5,rate_10,rate_3_diff,rate_5_diff,rate_10_diff,rate_3_diff_reaction_0,rate_3_diff_reaction_1,rate_3_diff_reaction_2,rate_3_diff_reaction_3,rate_3_diff_cumulative,rate_5_diff_reaction_0,rate_5_diff_reaction_1,rate_5_diff_reaction_2,rate_5_diff_reaction_3,rate_5_diff_cumulative,rate_10_diff_reaction_0,rate_10_diff_reaction_1,rate_10_diff_reaction_2,rate_10_diff_reaction_3,rate_10_diff_cumulative
339.67046,6.72612,19.51803,55.37981,0.139588312,1.704539254,1.172701289,1.66E-03,8.51E-07,0.132743159,0.005374621,0.139781272,6.02E-02,1.67E+00,3.18E-06,1.73E-05,1.729734017,0.388538963,8.65E-01,6.34E-20,1.84E-06,1.253776295
340.62537,6.59795,17.87099,54.2501,0.139944363,1.689490873,1.180571059,1.45E-03,3.28E-07,0.13095775,0.006491538,0.138901275,5.34E-02,1.68E+00,7.04E-06,2.14E-05,1.729177615,0.380823812,8.95E-01,1.65E-19,2.11E-06,1.275372256
341.58029,6.45885,16.29139,53.12512,0.142153995,1.627223224,1.198677477,1.27E-03,1.26E-07,0.128785487,0.007830737,0.137883713,4.73E-02,1.67E+00,1.56E-05,2.65E-05,1.716011967,0.372011837,9.24E-01,4.28E-19,2.42E-06,1.295791568
342.5352,6.32646,14.76327,51.96083,0.140520351,1.572684624,1.343307394,1.11E-03,4.87E-08,0.126277548,0.009431994,0.136815992,4.18E-02,1.63E+00,3.45E-05,3.28E-05,1.672028795,0.362055249,9.53E-01,1.11E-18,2.77E-06,1.31491858
343.49012,6.19048,13.28783,50.55963,0.134504077,1.494918133,1.349108988,9.66E-04,1.87E-08,1.23E-01,1.13E-02,0.13575894,3.69E-02,1.52E+00,7.65E-05,4.05E-05,1.558936407,0.350925151,9.82E-01,2.89E-18,3.17E-06,1.332659106
344.44503,6.06958,11.90823,49.38426,0.140483635,1.364331278,1.255195361,8.43E-04,7.22E-09,1.20E-01,1.36E-02,0.134764519,3.25E-02,1.29E+00,0.000169299,5.01E-05,1.32094341,0.338618,1.01E+00,7.51E-18,3.64E-06,1.348945049
345.39995,5.92218,10.68219,48.16242,0.146562742,1.140325874,1.281171631,7.36E-04,2.78E-09,1.17E-01,1.63E-02,0.133884775,2.86E-02,9.17E-01,0.000374377,6.19E-05,0.946193515,0.325159964,1.04E+00,1.95E-17,4.17E-06,1.363741725
346.35486,5.78967,9.7304,46.93744,0.148180679,0.786772697,1.295089027,6.42E-04,1.07E-09,1.13E-01,1.94E-02,0.133176118,2.52E-02,5.24E-01,0.000826288,7.66E-05,0.550226479,0.310612259,1.07E+00,5.07E-17,4.78E-06,1.377051304
347.30978,5.63918,9.17959,45.68902,0.149536828,0.310801139,1.378295822,5.61E-04,4.12E-10,1.09E-01,2.31E-02,0.132700447,2.21E-02,2.48E-01,0.001816312,9.46682E-05,0.2723462,0.295072659,1.09E+00,1.32E-16,5.48E-06,1.38891714
348.26469,5.50408,9.13682,44.30513,0.135985954,0.019651095,1.400161528,4.89E-04,1.59E-10,1.05E-01,2.74E-02,0.132524181,1.94E-02,1.05E-01,0.003957817,0.000117032,0.128597773,0.278677012,1.12E+00,3.42E-16,6.28E-06,1.399423333
349.21961,5.37947,9.14206,43.01495,0.138064684,-0.00663934,1.379950199,4.27E-04,6.11E-11,1.00E-01,3.22E-02,0.132715291,1.70E-02,4.22E-02,0.008466293,0.000144675,0.067805876,0.261595437,1.15E+00,8.90E-16,7.20E-06,1.408693538
350.17452,5.2404,9.1495,41.66966,0.149913844,0.001146652,1.402449466,3.73E-04,2.35E-11,9.52E-02,3.78E-02,0.133338691,1.49E-02,1.65E-02,0.017439518,0.000178839,0.049082632,0.244028204,1.17E+00,2.31E-15,8.25E-06,1.416884832
351.12944,5.09316,9.13987,40.33651,0.142944601,0.026196133,1.421163271,3.25E-04,9.06E-12,9.01E-02,4.40E-02,0.134450213,1.31E-02,6.42E-03,0.033457259,0.000221062,0.05318428,0.226196073,1.20E+00,6.01E-15,9.45E-06,1.424180422
352.08435,4.9674,9.09947,38.95548,0.128482657,0.055973497,1.435928906,2.84E-04,3.49E-12,8.48E-02,5.10E-02,0.13608967,1.15E-02,2.49E-03,0.057169619,0.000273236,0.071386439,0.208331415,1.22E+00,1.56E-14,1.08E-05,1.430778681
353.03927,4.84778,9.03297,37.59413,0.144159527,0.077776599,1.452438316,2.48E-04,1.34E-12,7.95E-02,5.86E-02,0.138274075,1.00E-02,9.61E-04,0.084043705,0.0003377,0.095371735,0.190665293,1.25E+00,4.06E-14,1.24E-05,1.436882305
353.99418,4.69208,8.95093,36.18157,0.155265169,0.093861716,1.45809324,2.16E-04,5.17E-13,7.40E-02,6.67E-02,0.140991836,8.78E-03,3.71E-04,0.106584527,0.000417335,0.116149096,0.173417591,1.27E+00,1.05E-13,1.42E-05,1.442686229
354.9491,4.55125,8.85371,34.80942,0.149505464,0.110910443,1.432185039,1.89E-04,1.99E-13,6.86E-02,7.54E-02,0.144199717,7.68E-03,1.43E-04,0.121080241,0.000515692,0.129415971,0.15678544,1.29E+00,2.74E-13,1.63E-05,1.448367704
355.90401,4.40655,8.73911,33.44634,0.144400324,0.117822017,1.456003788,1.65E-04,7.67E-14,6.32E-02,8.44E-02,0.147822923,6.71E-03,5.52E-05,0.128727933,0.00063714,0.136133449,0.140936761,1.31E+00,7.12E-13,1.87E-05,1.454077262
356.85893,4.27547,8.62869,32.0287,0.147065497,0.113355627,1.468444751,1.44E-04,2.96E-14,5.80E-02,9.36E-02,0.151759697,5.87E-03,2.13E-05,1.32E-01,0.000787059,0.138832621,0.126003767,1.33E+00,1.85E-12,2.14E-05,1.459932919
357.81384,4.12568,8.52262,30.64186,0.16494134,0.121759472,1.453710532,1.25E-04,1.12E-14,5.29E-02,1.03E-01,0.155889087,5.13E-03,8.22E-06,1.33E-01,0.000972048,0.139446331,0.112082128,1.35E+00,4.80E-12,2.46E-05,1.466015446
358.76876,3.96046,8.39615,29.25236,0.172952566,0.130508988,1.466329523,1.09E-04,4.49E-15,4.80E-02,1.12E-01,0.160081919,4.48E-03,3.17E-06,1.33E-01,1.20E-03,0.139057426,9.92E-02,1.37E+00,1.25E-11,2.81E-05,1.472365578
359.72367,3.79537,8.27337,27.84142,0.170633,0.131624265,1.488656,9.54E-05,1.80E-15,4.34E-02,1.21E-01,0.164211926,3.92E-03,1.22E-06,1.33E-01,1.48E-03,0.138196649,8.75E-02,1.39E+00,3.24E-11,3.23E-05,1.47897917
360.67859,3.63458,8.14477,26.40928,0.177932117,0.132074569,1.508762607,8.33E-05,4.49E-16,3.90E-02,1.29E-01,0.168166497,3.42E-03,4.71E-07,1.32E-01,1.83E-03,0.137106227,7.68E-02,1.41E+00,8.43E-11,3.70E-05,1.485798711
361.6335,3.45555,8.02113,24.95994,0.184450988,0.140871117,1.502997726,7.27E-05,4.49E-16,3.49E-02,1.37E-01,0.171854115,2.99E-03,1.82E-07,1.31E-01,2.25E-03,0.13589089,6.72E-02,1.43E+00,2.19E-10,4.24E-05,1.492692848
362.58842,3.28231,7.87573,23.53881,0.186142247,0.151720307,1.512244671,6.34E-05,0.00E+00,3.12E-02,1.44E-01,0.175208994,2.61E-03,7.00E-08,1.29E-01,2.78E-03,0.134593257,5.86E-02,1.44E+00,5.69E-10,4.86E-05,1.499415016
363.54333,3.10005,7.73137,22.07181,0.184361993,0.13917999,1.517847235,5.53E-05,0.00E+00,2.77E-02,1.50E-01,0.178191583,2.28E-03,2.70E-08,1.28E-01,3.42E-03,0.133229909,5.10E-02,1.45E+00,1.48E-09,5.57E-05,1.505518971
364.49825,2.93021,7.60992,20.63998,0.179701868,0.128519299,1.474340517,4.83E-05,0.00E+00,2.46E-02,1.56E-01,0.180786747,1.99E-03,1.04E-08,1.26E-01,4.21E-03,0.131808409,4.42E-02,1.47E+00,3.84E-09,6.38E-05,1.510197698
365.45316,2.75685,7.48592,19.25607,0.194111452,0.141824079,1.450432755,4.21E-05,0.00E+00,2.17E-02,1.61E-01,0.182999487,1.74E-03,4.00E-09,1.23E-01,5.18E-03,0.130335942,3.83E-02,1.47E+00,9.98E-09,7.31E-05,1.511981779
366.40808,2.55949,7.33906,17.8699,0.19684993,0.152034465,1.438630596,3.68E-05,0.00E+00,1.91E-02,1.66E-01,0.184850207,1.52E-03,1.54E-09,1.21E-01,6.35E-03,0.128823906,3.31E-02,1.48E+00,2.59E-08,8.38E-05,1.508201648
367.36299,2.3809,7.19556,16.50853,0.197069844,0.138745394,1.401512303,3.21E-05,0.00E+00,1.68E-02,1.70E-01,0.186369508,1.32E-03,5.94E-10,1.18E-01,7.79E-03,0.127291079,2.85E-02,1.47E+00,6.74E-08,9.60E-05,1.49409387
368.31791,2.18312,7.07408,15.19325,0.203855823,0.135373348,1.295669867,2.80E-05,0.00E+00,1.47E-02,1.73E-01,0.187593824,1.16E-03,2.29E-10,1.15E-01,9.52E-03,0.125765749,2.46E-02,1.44E+00,1.75E-07,1.10E-04,1.461530424
369.27282,1.99157,6.93702,14.03402,0.198645963,0.142677625,1.223496282,2.44E-05,0.00E+00,1.29E-02,1.76E-01,0.188561538,1.01E-03,8.82E-11,1.12E-01,1.16E-02,0.124287555,2.11E-02,1.38E+00,4.55E-07,1.26E-04,1.39788148
370.22774,1.80374,6.80159,12.85658,0.193310382,0.141886975,1.181251463,2.13E-05,0.00E+00,1.13E-02,1.78E-01,0.189310058,8.80E-04,3.40E-11,1.08E-01,1.41E-02,0.122908456,1.81E-02,1.27E+00,1.18E-06,1.45E-04,1.28700032
371.18265,1.62238,6.66604,11.77803,0.195205828,0.137137886,1.103066903,1.86E-05,0.00E+00,9.83E-03,1.80E-01,0.189873022,7.68E-04,1.31E-11,1.04E-01,1.71E-02,0.121693012,1.56E-02,1.10E+00,3.07E-06,1.66E-04,1.116343597
372.13757,1.43093,6.53968,10.74991,0.194326164,0.125927405,0.927919507,1.62E-05,0.00E+00,8.56E-03,1.82E-01,0.190276962,6.70E-04,5.04E-12,9.94E-02,2.07E-02,0.120717091,1.34E-02,8.78E-01,7.98E-06,0.000189833,0.891617617
373.09248,1.25125,6.42554,10.00586,0.191629603,0.134629705,0.72713829,1.42E-05,0.00E+00,7.45E-03,1.83E-01,0.1905347,5.85E-04,1.94E-12,9.46E-02,2.49E-02,0.120064975,1.14E-02,6.35E-01,2.07E-05,0.000217534,0.646396856
374.0474,1.06495,6.28256,9.3612,0.185807065,0.144122746,0.549262888,1.23E-05,0.00E+00,6.48E-03,1.84E-01,0.190629577,5.11E-04,7.47E-13,8.96E-02,2.97E-02,0.11982412,9.80E-03,4.17E-01,5.38E-05,0.000249272,0.426746481
375.00231,0.89639,6.15029,8.95686,0.166988735,0.13589169,0.251667278,1.08E-05,0.00E+00,5.63E-03,1.85E-01,0.190475022,4.46E-04,2.87E-13,8.44E-02,3.53E-02,0.120077779,8.38E-03,2.53E-01,1.40E-04,0.00028563,0.261684948
375.95723,0.74603,6.02303,8.88056,0.176518429,0.135629885,0.037757067,9.40E-06,0.00E+00,4.88E-03,1.85E-01,0.189811368,3.89E-04,1.11E-13,7.90E-02,4.16E-02,0.120895639,7.17E-03,1.45E-01,3.62E-04,0.000327278,0.153160268
376.91214,0.55927,5.89126,8.88475,0.184765193,0.132828603,-0.003068343,8.20E-06,0.00E+00,4.23E-03,0.183708239,0.187950834,3.39E-04,4.27611E-14,7.34E-02,4.86E-02,0.122323515,6.13E-03,8.07E-02,9.35E-04,0.000374983,0.088115922
377.86706,0.39316,5.76935,8.88642,0.156008556,0.136451982,-0.001748847,7.16E-06,0.00E+00,3.67E-03,0.179525032,0.183202388,2.96E-04,1.66132E-14,6.79E-02,5.62E-02,0.124373786,5.24E-03,4.39E-02,2.39E-03,0.000429619,0.051965295
378.82197,0.26132,5.63066,8.88809,0.140797858,0.140934032,-0.000204215,6.25E-06,0.00E+00,3.18E-03,0.168705813,0.171891578,2.58E-04,6.23236E-15,6.23E-02,6.44E-02,0.127018366,4.48E-03,2.36E-02,5.97E-03,0.000492188,0.034562163
379.77689,0.12426,5.50019,8.88681,0.143050416,0.144882048,0.006927347,5.45E-06,0.00E+00,2.75E-03,0.145403382,0.148162017,2.25E-04,2.49384E-15,5.69E-02,7.31E-02,0.130186661,3.83E-03,1.26E-02,1.41E-02,0.000563832,0.031079053
380.7318,-0.01188198,5.35396,8.87486,0.126582031,0.137200777,0.020001741,4.75E-06,0.00E+00,0.002383082,0.106821755,0.109209592,1.97E-04,8.31554E-16,5.16E-02,8.20E-02,0.133769158,3.27E-03,6.73E-03,2.94E-02,0.000645855,0.040040367
381.68672,-0.11749,5.23816,8.84861,0.09260397,0.153558339,0.03968946,4.15E-06,0.00E+00,0.002062021,6.32E-02,0.065261277,1.72E-04,4.15904E-16,4.65E-02,9.09E-02,0.137627528,2.79E-03,3.58E-03,5.07E-02,0.000739747,0.057791903
382.64163,-0.18874,5.06069,8.79906,0.051863374,0.165119517,0.054088572,3.62E-06,0.00E+00,0.001783687,3.07E-02,0.032449887,1.50E-04,0,4.17E-02,9.97E-02,0.141608672,2.38E-03,1.90E-03,7.03E-02,0.000847203,0.075388809
383.59655,-0.21654,4.92281,8.74531,0.018855028,0.152725679,0.065471844,3.16E-06,0.00E+00,0.001542524,1.31E-02,0.014666598,1.31E-04,0,3.72E-02,1.08E-01,0.145561152,2.04E-03,1.01E-03,8.25E-02,0.00097016,0.086519707
384.55146,-0.22475,4.76901,8.67402,0.007649901,0.154799151,0.081342283,2.76E-06,0.00E+00,0.001333671,5.28E-03,0.00661511,1.14E-04,0,3.30E-02,1.16E-01,0.149349607,1.74E-03,5.36E-04,8.84E-02,0.001110816,0.091793738
385.50638,-0.23115,4.62717,8.58996,0.001916376,0.163239737,0.084703857,2.40E-06,0.00E+00,0.001152873,2.07E-03,0.003223512,9.95E-05,0,2.92E-02,1.24E-01,0.152865879,1.48E-03,2.84E-04,9.09E-02,1.27E-03,0.093915989
386.46129,-0.22841,4.45725,8.51225,-0.004790992,0.175282631,0.078719062,2.10E-06,0.00E+00,0.000996419,8.02E-04,0.001800273,8.68E-05,0,2.57E-02,1.30E-01,0.156034224,1.27E-03,1.51E-04,9.18E-02,1.46E-03,0.094691725
387.41621,-0.222,4.29241,8.43962,-0.004403521,0.168800344,0.087096815,1.83E-06,0.00E+00,0.000861071,3.09E-04,0.00117239,7.58E-05,0,2.25E-02,1.36E-01,0.158811915,1.08E-03,8.00E-05,9.21E-02,1.67E-03,0.094962297
388.37112,-0.22,4.13487,8.34591,0.011220824,0.168433822,0.090709683,1.60E-06,0.00E+00,0.000744016,1.19E-04,0.000864881,6.61E-05,0,1.97E-02,1.41E-01,0.161185197,9.22E-04,4.24E-05,9.22E-02,1.91E-03,0.095069914
389.32604,-0.24343,3.97073,8.26638,0.008210069,0.166323675,0.087122958,1.39E-06,0.00E+00,0.000642804,4.59E-05,0.000690128,5.77E-05,0,1.71E-02,1.46E-01,0.163163259,7.86E-04,2.25E-05,9.22E-02,2.18E-03,0.095145737
390.28095,-0.23568,3.81722,8.17952,0.004094541,0.169140665,0.089730506,1.22E-06,0.00E+00,0.000555308,1.77E-05,0.000574207,5.03E-05,0,1.49E-02,1.50E-01,0.164770853,6.71E-04,1.19E-05,9.21E-02,2.49E-03,0.095238596
391.23587,-0.25125,3.6477,8.09501,0.008629,0.165569648,0.087897873,1.06E-06,0.00E+00,0.000479683,6.81E-06,0.000487551,4.39E-05,0,1.29E-02,1.53E-01,0.166041506,5.72E-04,6.31E-06,9.19E-02,2.85E-03,0.095366664
392.19078,-0.25216,3.50101,8.01165,0.003586693,0.163988364,0.090557781,9.25E-07,0.00E+00,0.000414329,2.62E-06,0.000417874,3.83E-05,0,1.11E-02,1.56E-01,0.167011301,4.88E-04,3.35E-06,9.18E-02,3.26E-03,0.095537272
393.1457,-0.2581,3.33451,7.92206,0.005969116,0.178031572,0.097259984,8.07E-07,0.00E+00,0.000357856,1.01E-06,0.000359672,3.34E-05,0,9.61E-03,1.58E-01,0.167713969,4.17E-04,1.77E-06,9.16E-02,3.72E-03,0.095754333
394.10061,-0.26356,3.161,7.8259,0.004304055,0.173847975,0.101904352,7.04E-07,0.00E+00,0.000309065,3.88E-07,0.000310158,2.92E-05,0,8.28E-03,1.60E-01,0.168176678,3.55E-04,9.39E-07,9.14E-02,4.25E-03,0.096021023
395.05553,-0.26632,3.00249,7.72744,0.002162492,0.166423192,0.093704626,6.15E-07,0.00E+00,0.000266914,1.49E-07,0.000267678,2.54E-05,0,7.12E-03,1.61E-01,0.168416494,3.03E-04,4.98E-07,9.12E-02,4.85E-03,0.096340756
396.01044,-0.26769,2.84316,7.64694,-0.000958188,0.176403085,0.094390547,5.36E-07,0.00E+00,0.000230503,5.75E-08,0.000231097,2.22E-05,0,6.12E-03,1.62E-01,0.168436751,2.59E-04,2.64E-07,9.09E-02,5.53E-03,0.096717461
396.96536,-0.26449,2.66559,7.54717,-0.003586708,0.179356243,0.101328374,4.68E-07,0.00E+00,0.000199052,2.21E-08,0.000199542,1.94E-05,0,5.25E-03,1.63E-01,0.168222933,2.21E-04,1.40E-07,9.06E-02,6.30E-03,0.097155679
397.92027,-0.26084,2.50062,7.45342,0.002392851,0.169889482,0.100097904,4.08E-07,0.00E+00,0.000171888,8.52E-09,0.000172304,1.69E-05,0,4.51E-03,1.63E-01,0.167737384,1.88E-04,7.40E-08,9.03E-02,7.17E-03,0.097660515
398.87519,-0.26906,2.34113,7.356,0.006927309,0.164197846,0.10478421,3.56E-07,0.00E+00,0.000148426,3.28E-09,0.000148786,1.47E-05,0,3.86E-03,1.63E-01,0.166912305,1.61E-04,3.92E-08,8.99E-02,8.15E-03,0.098237606
399.8301,-0.27407,2.18703,7.2533,0.004068431,0.1649466,0.101380783,3.11E-07,0.00E+00,0.000128165,1.26E-09,0.000128477,1.29E-05,0,3.31E-03,1.62E-01,0.165640789,1.37E-04,2.07E-08,8.95E-02,9.27E-03,0.098892985
