temperature;rate_3;rate_5;rate_10;rate_3_diff;rate_5_diff;rate_10_diff;rate_3_diff_reaction_0;rate_3_diff_reaction_1;rate_3_diff_reaction_2;rate_3_diff_reaction_3;rate_3_diff_reaction_4;rate_3_diff_reaction_5;rate_3_diff_reaction_6;rate_3_diff_cumulative;rate_5_diff_reaction_0;rate_5_diff_reaction_1;rate_5_diff_reaction_2;rate_5_diff_reaction_3;rate_5_diff_reaction_4;rate_5_diff_reaction_5;rate_5_diff_reaction_6;rate_5_diff_cumulative;rate_10_diff_reaction_0;rate_10_diff_reaction_1;rate_10_diff_reaction_2;rate_10_diff_reaction_3;rate_10_diff_reaction_4;rate_10_diff_reaction_5;rate_10_diff_reaction_6;rate_10_diff_cumulative
251.60928;85.21217;90.44989;92.7168;0.407868246;0.315467083;0.255291445;0.093641499;0.191492286;0.083964773;3.06E-02;1.07E-81;1.87E-16;3.81E-14;0.399698885;0.189864968;0.105981371;0.021734789;1.18E-02;3.01E-62;3.73E-19;3.61E-13;0.329362309;0.227117072;0.021608148;0.00723344;1.17E-03;1.69E-65;2.55E-32;3.77E-18;0.257125564
252.5642;84.78207;90.15052;92.47743;0.421804909;0.331218567;0.260376066;0.085687305;0.200006367;0.094667082;3.20E-02;7.23E-81;2.57E-16;4.83E-14;0.412405442;0.182881088;0.116964002;0.025331227;1.24E-02;9.94E-62;5.13E-19;4.37E-13;0.337586103;0.226550926;0.023619009;0.007948466;1.25E-03;4.89E-65;4.11E-32;4.79E-18;0.259367485
253.51911;84.34779;89.82834;92.22703;0.429493256;0.347163108;0.262016333;0.078218892;0.208034015;0.106511919;3.36E-02;4.88E-80;3.53E-16;6.14E-14;0.426319461;0.175554373;0.128553087;0.02949338;1.31E-02;3.28E-61;7.05E-19;5.29E-13;0.346672019;0.225403809;0.025801152;0.008733105;1.34E-03;1.41E-64;6.62E-32;6.08E-18;0.261275102
254.47403;83.96736;89.49528;91.96473;0.442973423;0.363722679;0.264034577;0.071240769;0.215407712;0.119564353;3.51E-02;3.30E-79;4.85E-16;7.79E-14;0.441345766;0.167950159;0.140667041;0.034300022;1.38E-02;1.08E-60;9.69E-19;6.40E-13;0.356684224;0.223658744;0.028166145;0.009593934;1.43E-03;4.09E-64;1.07E-31;7.71E-18;0.262849988
255.42894;83.55507;89.14215;91.71388;0.453097347;0.383253335;0.264436707;0.064750093;0.221949393;0.1338781;3.68E-02;2.23E-78;6.67E-16;9.89E-14;0.457359956;0.160136096;0.153198679;0.039837111;1.45E-02;3.57E-60;1.33E-18;7.75E-13;0.367670829;0.221302963;0.030725637;0.010538065;1.53E-03;1.18E-63;1.72E-31;9.79E-18;0.264098567
256.38386;83.1048;88.77201;91.48396;0.469458194;0.401902914;0.263538267;0.058737414;0.22747631;0.149492716;3.85E-02;1.50E-77;9.17E-16;1.26E-13;0.474212334;0.152180059;0.166016118;0.046197624;1.53E-02;1.18E-59;1.83E-18;9.38E-13;0.379662596;0.218328651;0.03349143;0.011573267;1.64E-03;3.41E-63;2.77E-31;1.24E-17;0.265033056
257.33877;82.65822;88.3908;91.21543;0.478400641;0.418437458;0.265252947;0.053188481;0.231807438;0.16642827;4.03E-02;1.01E-76;1.26E-15;1.59E-13;0.491730663;0.144149341;0.178962844;0.053479982;1.61E-02;3.88E-59;2.52E-18;1.14E-12;0.392670558;0.214734057;0.03647511;0.012707919;1.76E-03;9.85E-63;4.47E-31;1.58E-17;0.26567216
258.29369;82.2122;87.99349;90.96249;0.494059331;0.434906897;0.265112314;0.048084899;0.234772462;0.184682557;4.22E-02;6.85E-76;1.73E-15;2.02E-13;0.509727157;0.136108609;0.19186114;0.061786774;1.69E-02;1.28E-58;3.46E-18;1.37E-12;0.406686204;0.210524131;0.03968809;0.013951144;1.88E-03;2.85E-62;7.20E-31;2.00E-17;0.266041897
259.2486;81.75177;87.58331;90.71652;0.517705468;0.452567067;0.264609464;0.043405629;0.236221181;0.204225911;4.42E-02;4.63E-75;2.38E-15;2.57E-13;0.528004063;0.128119317;0.20451462;0.071221509;1.78E-02;4.23E-58;4.76E-18;1.66E-12;0.421680103;0.205711637;0.043141144;0.015312752;2.01E-03;8.23E-62;1.16E-30;2.55E-17;0.266176173
260.20352;81.24646;87.15127;90.45988;0.526746246;0.469330709;0.266542877;0.039127473;0.236034117;0.224999646;4.62E-02;3.12E-74;3.27E-15;3.26E-13;0.54636333;0.120237961;0.216713967;0.081885694;1.88E-02;1.39E-57;6.54E-18;2.01E-12;0.437603057;0.200317447;0.046844419;0.016803392;2.15E-03;2.38E-61;1.87E-30;3.23E-17;0.266117261
