temperature;rate_3;rate_5;rate_10;rate_3_diff;rate_5_diff;rate_10_diff;rate_3_diff_reaction_0;rate_3_diff_reaction_1;rate_3_diff_reaction_2;rate_3_diff_reaction_3;rate_3_diff_reaction_4;rate_3_diff_reaction_5;rate_3_diff_reaction_6;rate_3_diff_cumulative;rate_5_diff_reaction_0;rate_5_diff_reaction_1;rate_5_diff_reaction_2;rate_5_diff_reaction_3;rate_5_diff_reaction_4;rate_5_diff_reaction_5;rate_5_diff_reaction_6;rate_5_diff_cumulative;rate_10_diff_reaction_0;rate_10_diff_reaction_1;rate_10_diff_reaction_2;rate_10_diff_reaction_3;rate_10_diff_reaction_4;rate_10_diff_reaction_5;rate_10_diff_reaction_6;rate_10_diff_cumulative
420.26632;38.48065;40.48082;39.8463;0.010627588;0.012982371;0.008661557;3.80E-14;1.25774E-12;0.00E+00;3.19E-16;8.94E-07;1.06E-05;5.66E-12;1.15E-05;6.28E-12;1.69544E-12;0;0.00E+00;6.03E-06;3.79E-06;3.74E-13;9.82E-06;3.66E-07;2.47E-09;6.13E-10;3.56E-05;0.000198314;1.95E-04;6.11E-05;0.000490107
421.22123;38.47071;40.47293;39.83679;0.010485967;0.012144756;0.008117091;3.12E-14;1.039E-12;0.00E+00;1.60E-16;7.25E-07;8.79E-06;3.00E-12;9.52E-06;5.35E-12;1.40067E-12;0;0.00E+00;4.98E-06;2.99E-06;1.69E-13;7.97E-06;3.29E-07;2.11E-09;4.96E-10;2.81E-05;0.000156258;1.42E-04;3.24E-05;0.000358739
422.17615;38.45871;40.46209;39.82414;0.009677703;0.01212452;0.008576092;2.58E-14;8.58353E-13;0.00E+00;1.60E-16;5.88E-07;7.27E-06;1.59E-12;7.85E-06;4.57E-12;1.15719E-12;0;0.00E+00;4.11E-06;2.35E-06;7.61E-14;6.47E-06;2.96E-07;1.80E-09;4.01E-10;2.21E-05;0.00012311;1.03E-04;1.72E-05;0.000265781
423.13106;38.44742;40.45377;39.8141;0.008649028;0.012517341;0.009414239;2.14E-14;7.09233E-13;0;0.00E+00;4.76E-07;6.00E-06;8.39E-13;6.48E-06;3.89E-12;9.5598E-13;0;0.00E+00;3.40E-06;1.85E-06;3.43E-14;5.25E-06;2.66E-07;1.53E-09;3.24E-10;1.74E-05;9.70E-05;7.50E-05;9.11E-06;0.000198775
424.08598;38.43615;40.44111;39.80545;0.008934476;0.010819296;0.010266205;1.76E-14;5.85918E-13;0;0.00E+00;3.86E-07;4.96E-06;4.44E-13;5.34E-06;3.32E-12;7.89746E-13;0;0.00E+00;2.81E-06;1.46E-06;1.55E-14;4.27E-06;2.39E-07;1.31E-09;2.62E-10;1.37E-05;7.64E-05;5.46E-05;4.82E-06;0.00014975
425.04089;38.43615;40.42563;39.795;0.007399698;0.011763129;0.011043631;1.46E-14;4.84079E-13;0;0.00E+00;3.13E-07;4.10E-06;2.35E-13;4.41E-06;2.83E-12;6.525E-13;0;0.00E+00;2.32E-06;1.15E-06;7.01E-15;3.47E-06;2.15E-07;1.12E-09;2.12E-10;1.08E-05;6.02E-05;3.97E-05;2.55E-06;0.000113458
425.99581;38.42843;40.4102;39.78818;0.006788051;0.012803297;0.009204489;1.20E-14;3.99907E-13;0;0.00E+00;2.54E-07;3.38E-06;1.24E-13;3.64E-06;2.42E-12;5.39035E-13;0;0.00E+00;1.92E-06;9.06E-07;3.18E-15;2.82E-06;1.94E-07;9.52E-10;1.72E-10;8.51E-06;4.74E-05;2.89E-05;1.35E-06;8.63E-05
426.95072;38.42191;40.40902;39.78192;0.006816628;0.012625951;0.007523905;1.00E-14;3.30282E-13;0;0.00E+00;2.06E-07;2.80E-06;6.57E-14;3.00E-06;2.06E-12;4.4531E-13;0;0.00E+00;1.58E-06;7.14E-07;1.44E-15;2.30E-06;1.74E-07;8.12E-10;1.39E-10;6.70E-06;3.73E-05;2.10E-05;7.16E-07;6.59E-05
427.90564;38.41303;40.39009;39.77048;0.007897591;0.014478702;0.005817737;8.22E-15;2.72955E-13;0;0.00E+00;1.67E-07;2.31E-06;3.47E-14;2.48E-06;1.76E-12;3.67906E-13;0;0.00E+00;1.31E-06;5.62E-07;6.59E-16;1.87E-06;1.57E-07;6.93E-10;1.12E-10;5.28E-06;2.94E-05;1.53E-05;3.79E-07;5.05E-05
428.86055;38.40409;40.38067;39.76279;0.008493495;0.014045698;0.005217693;6.74E-15;2.255E-13;0;0.00E+00;1.35E-07;1.91E-06;1.84E-14;2.04E-06;1.50E-12;3.03946E-13;0;0.00E+00;1.08E-06;4.43E-07;3.00E-16;1.52E-06;1.41E-07;5.91E-10;9.08E-11;4.16E-06;2.32E-05;1.11E-05;2.01E-07;3.88E-05
429.81547;38.39758;40.36988;39.75412;0.009780603;0.014715457;0.005101024;5.59E-15;1.86358E-13;0;0.00E+00;1.09E-07;1.58E-06;9.71E-15;1.69E-06;1.28E-12;2.51099E-13;0;0.00E+00;8.93E-07;3.49E-07;1.20E-16;1.24E-06;1.27E-07;5.04E-10;7.34E-11;3.28E-06;1.83E-05;8.09E-06;1.06E-07;2.98E-05
430.77038;38.39221;40.35034;39.74949;0.009730594;0.015884253;0.006045947;4.60E-15;1.5397E-13;0;0.00E+00;8.87E-08;1.30E-06;5.16E-15;1.39E-06;1.09E-12;2.07423E-13;0;0.00E+00;7.37E-07;2.75E-07;5.99E-17;1.01E-06;1.14E-07;4.30E-10;5.94E-11;2.58E-06;1.44E-05;5.88E-06;5.62E-08;2.30E-05
431.7253;38.38066;40.33612;39.75274;0.010281064;0.01596999;0.006352269;3.78E-15;1.27125E-13;0;0.00E+00;7.19E-08;1.08E-06;2.72E-15;1.15E-06;9.30E-13;1.71363E-13;0;0.00E+00;6.09E-07;2.16E-07;0.00E+00;8.25E-07;1.02E-07;3.66E-10;4.80E-11;2.03E-06;1.13E-05;4.28E-06;2.97E-08;1.78E-05
