temperature;rate_3;rate_5;rate_10;rate_3_diff;rate_5_diff;rate_10_diff;rate_3_diff_reaction_0;rate_3_diff_reaction_1;rate_3_diff_reaction_2;rate_3_diff_reaction_3;rate_3_diff_reaction_4;rate_3_diff_reaction_5;rate_3_diff_reaction_6;rate_3_diff_cumulative;rate_5_diff_reaction_0;rate_5_diff_reaction_1;rate_5_diff_reaction_2;rate_5_diff_reaction_3;rate_5_diff_reaction_4;rate_5_diff_reaction_5;rate_5_diff_reaction_6;rate_5_diff_cumulative;rate_10_diff_reaction_0;rate_10_diff_reaction_1;rate_10_diff_reaction_2;rate_10_diff_reaction_3;rate_10_diff_reaction_4;rate_10_diff_reaction_5;rate_10_diff_reaction_6;rate_10_diff_cumulative
422.19215;44.7959;44.65821;45.07378;0.006257999;0.002245433;0.056346629;6.29E-09;0;0;0.00E+00;3.60E-08;4.56E-06;2.10E-14;4.60E-06;4.97E-10;0;0;0.00E+00;5.63E-08;1.04E-04;2.06E-08;1.04E-04;1.20E-06;0.00E+00;0.00E+00;2.12E-12;9.49181E-06;0.004861361;0.053372442;0.058244491
423.14707;44.78754;44.6578;45.05348;0.006165013;0.003183682;0.03373833;5.72E-09;0;0;0.00E+00;2.97E-08;3.77E-06;8.82E-15;3.80E-06;4.41E-10;0;0;0.00E+00;4.43E-08;8.57E-05;7.93E-09;8.58E-05;1.10E-06;0.00E+00;0.00E+00;1.31E-12;7.28061E-06;0.003888879;0.033503327;0.037400591
424.10198;44.78279;44.6582;45.04665;0.005313144;0.003287863;0.015053496;5.20E-09;0;0;0.00E+00;2.46E-08;3.11E-06;3.70E-15;3.14E-06;3.92E-10;0;0;0.00E+00;3.49E-08;7.09E-05;3.05E-09;7.09E-05;1.02E-06;0.00E+00;0.00E+00;8.16E-13;5.58449E-06;0.00310123;0.018727391;0.021835226
425.0569;44.77078;44.6586;45.03789;0.004139696;0.002258212;0.004159364;4.72E-09;0;0;0.00E+00;2.03E-08;2.57E-06;1.55E-15;2.60E-06;3.48E-10;0;0;0.00E+00;2.75E-08;5.85E-05;1.17E-09;5.86E-05;9.42E-07;0.00E+00;0.00E+00;5.06E-13;4.28346E-06;0.002466868;0.00968482;0.012156914
426.01181;44.77004;44.6518;45.0297;0.003853713;0.00228633;0.001541027;4.29E-09;0;0;0.00E+00;1.68E-08;2.13E-06;6.41E-16;2.15E-06;3.08E-10;0;0;0.00E+00;2.17E-08;4.84E-05;4.52E-10;4.84E-05;8.70E-07;0.00E+00;0.00E+00;3.14E-13;3.28552E-06;0.001958293;0.00478949;0.006751939
426.96673;44.77004;44.64714;45.02142;0.00372656;0.003563462;0.00292574;3.90E-09;0;0;0.00E+00;1.39E-08;1.76E-06;2.64E-16;1.77E-06;2.74E-10;0;0;0.00E+00;1.71E-08;4.00E-05;1.74E-10;4.00E-05;8.04E-07;0.00E+00;0.00E+00;1.95E-13;2.52006E-06;0.00155204;0.002313495;0.003868859
427.92164;44.76866;44.64701;45.02113;0.003171497;0.00467717;0.002726659;3.55E-09;0;0;0.00E+00;1.14E-08;1.45E-06;1.13E-16;1.47E-06;2.43E-10;0;0;0.00E+00;1.34E-08;3.30E-05;6.70E-11;3.30E-05;7.42E-07;0.00E+00;0.00E+00;1.21E-13;1.93294E-06;0.001228477;0.001104335;0.002335487
428.87656;44.76521;44.64661;45.01904;0.003180611;0.004589568;0.000669129;3.22E-09;0;0;0.00E+00;9.46E-09;1.20E-06;3.77E-17;1.21E-06;2.16E-10;0;0;0.00E+00;1.06E-08;2.73E-05;2.58E-11;2.73E-05;6.85E-07;0.00E+00;0.00E+00;7.50E-14;1.4826E-06;0.000971365;0.000524039;0.001497572
429.83147;44.75935;44.63702;45.01532;0.002695092;0.003752459;-0.001229573;2.93E-09;0;0;0.00E+00;7.81E-09;9.90E-07;3.77E-17;1.00E-06;1.91E-10;0;0;0.00E+00;8.33E-09;2.25E-05;9.93E-12;2.26E-05;6.33E-07;0;0.00E+00;4.65E-14;1.13718E-06;0.000767439;0.000247935;0.001017145
430.78639;44.75312;44.62861;45.01756;0.002981854;0.00321543;-0.001673307;2.66E-09;0;0;0.00E+00;6.46E-09;8.1788E-07;0;8.27E-07;1.70E-10;0;0;0.00E+00;6.56E-09;1.86E-05;3.82E-12;1.86E-05;5.85E-07;0;0.00E+00;2.89E-14;8.7223E-07;6.06E-04;1.17E-04;0.00072451
431.7413;44.75177;44.62901;45.02297;0.003930156;0.004112938;-0.000789139;2.42E-09;0;0;0.00E+00;5.33E-09;6.75691E-07;0;6.83E-07;1.51E-10;0;0;0.00E+00;5.17E-09;1.54E-05;1.47E-12;1.54E-05;5.40E-07;0;0.00E+00;1.79E-14;6.69013E-07;4.78E-04;5.53E-05;0.000534658
432.69622;44.75108;44.6274;45.02656;0.004366815;0.005145237;0.000308441;2.20E-09;0;0;0.00E+00;4.41E-09;5.5822E-07;0;5.65E-07;1.34E-10;0;0;0.00E+00;4.07E-09;1.27E-05;5.66E-13;1.27E-05;4.99E-07;0;0.00E+00;1.11E-14;5.13141E-07;3.77E-04;2.61E-05;0.000404281
433.65113;44.74901;44.62549;45.0253;0.003726831;0.00492856;0.00107494;2.00E-09;0;0;0.00E+00;3.64E-09;4.61173E-07;0;4.67E-07;1.19E-10;0;0;0.00E+00;3.21E-09;1.05E-05;2.18E-13;1.05E-05;4.60E-07;0;0.00E+00;6.91E-15;3.93586E-07;2.97E-04;1.23E-05;0.000310595
434.60605;44.74694;44.62062;45.01946;0.002589767;0.004601769;0.002020681;1.82E-09;0;0;0.00E+00;3.01E-09;3.80997E-07;0;3.86E-07;1.05E-10;0;0;0.00E+00;2.53E-09;8.68E-06;8.39E-14;8.68E-06;4.25E-07;0;0.00E+00;4.27E-15;3.01885E-07;2.34E-04;5.80E-06;0.000241021
435.56096;44.7387;44.61274;45.01407;0.002870649;0.005258665;0.00306492;1.65E-09;0;0;0.00E+00;2.48E-09;3.1476E-07;0;3.19E-07;9.35E-11;0;0;0.00E+00;1.99E-09;7.17E-06;3.23E-14;7.17E-06;3.93E-07;0;0.00E+00;2.64E-15;2.3155E-07;1.85E-04;2.73E-06;0.00018819
436.51588;44.72754;44.60142;45.0111;0.003904075;0.004926714;0.003776921;1.50E-09;0;0;0.00E+00;2.05E-09;2.60038E-07;0;2.64E-07;8.30E-11;0;0;0.00E+00;1.57E-09;5.92E-06;1.24E-14;5.92E-06;3.63E-07;0;0.00E+00;1.63E-15;1.77601E-07;1.46E-04;1.29E-06;0.000147493
437.47079;44.73416;44.60102;45.01026;0.004410546;0.003121652;0.003751886;1.36E-09;0;0;0.00E+00;1.70E-09;2.1483E-07;0;2.18E-07;7.36E-11;0;0;0.00E+00;1.23E-09;4.89E-06;4.79E-15;4.89E-06;3.35E-07;0;0.00E+00;1.02E-15;1.36222E-07;1.15E-04;6.08E-07;0.000115861
