temperature;rate_3;rate_5;rate_10;rate_3_diff;rate_5_diff;rate_10_diff;rate_3_diff_reaction_0;rate_3_diff_reaction_1;rate_3_diff_reaction_2;rate_3_diff_reaction_3;rate_3_diff_reaction_4;rate_3_diff_reaction_5;rate_3_diff_reaction_6;rate_3_diff_reaction_7;rate_3_diff_cumulative;rate_5_diff_reaction_0;rate_5_diff_reaction_1;rate_5_diff_reaction_2;rate_5_diff_reaction_3;rate_5_diff_reaction_4;rate_5_diff_reaction_5;rate_5_diff_reaction_6;rate_5_diff_reaction_7;rate_5_diff_cumulative;rate_10_diff_reaction_0;rate_10_diff_reaction_1;rate_10_diff_reaction_2;rate_10_diff_reaction_3;rate_10_diff_reaction_4;rate_10_diff_reaction_5;rate_10_diff_reaction_6;rate_10_diff_reaction_7;rate_10_diff_cumulative
405.71251;38.26268;40.02686;41.73536;0;0.089125883;0.104865634;9.10E-17;1.38E-14;0;0.00E+00;0.00E+00;4.28E-06;2.74E-05;7.29E-08;3.17E-05;5.73E-11;4.45E-11;0.00E+00;0.00E+00;1.36E-14;0.000128696;0.005140423;0.096702223;0.101971342;3.18E-12;2.67E-06;4.74E-13;4.40E-11;2.76847E-06;0.037153842;0.054242685;0.005920829;0.097322799
406.66742;38.26268;39.91592;41.65549;0;0.068709557;0.104757679;9.10E-17;1.14E-14;0;0.00E+00;0.00E+00;3.65E-06;2.26E-05;4.16E-08;2.63E-05;5.04E-11;3.80E-11;0.00E+00;0.00E+00;7.44E-15;0.000106361;0.00429244;0.072374463;0.076773264;2.71E-12;2.43E-06;3.45E-13;3.01E-11;1.62885E-06;0.033391075;0.05986179;0.00744734;0.100704264
407.62234;38.26268;39.84799;41.54195;0;0.047862365;0.106925141;9.10E-17;9.39E-15;0;0.00E+00;0.00E+00;3.11E-06;1.87E-05;2.37E-08;2.18E-05;4.44E-11;3.24E-11;0.00E+00;0.00E+00;4.11E-15;8.7897E-05;0.003577961;0.048233075;0.051898933;2.31E-12;2.21E-06;2.51E-13;2.05E-11;9.58331E-07;0.029744493;0.064975406;0.009345024;0.104068091
408.57725;38.26268;39.8362;41.44086;0;0.030434838;0.106956608;9.10E-17;7.77E-15;0;0.00E+00;0.00E+00;2.66E-06;1.54E-05;1.35E-08;1.81E-05;3.91E-11;2.76E-11;0.00E+00;0.00E+00;2.31E-15;7.26344E-05;0.002977956;0.029076725;0.032127316;1.97E-12;2.01E-06;1.83E-13;1.40E-11;5.6383E-07;0.026271596;0.069365997;0.011691456;0.107331621
409.53217;38.26268;39.82389;41.33392;0;0.013898225;0.108289639;9.10E-17;6.40E-15;0;0.00E+00;0.00E+00;2.26E-06;1.28E-05;7.71E-09;1.50E-05;3.44E-11;2.36E-11;0.00E+00;0.00E+00;1.28E-15;6.00192E-05;0.00247546;0.016311388;0.018846867;1.68E-12;1.83E-06;1.33E-13;9.56E-12;3.31723E-07;0.023018384;0.072849749;0.014573637;0.110443927
410.48708;38.26268;39.81333;41.22599;0;0.004943034;0.114400843;0.00E+00;5.28E-15;0;0.00E+00;0.00E+00;1.93E-06;1.05E-05;4.40E-09;1.25E-05;3.03E-11;2.01E-11;0.00E+00;0.00E+00;6.42E-16;4.95934E-05;0.002055604;0.008747534;0.010852732;1.43E-12;1.66E-06;9.66E-14;6.52E-12;1.95165E-07;0.02001794;0.075285498;0.018085122;0.113390414
411.442;38.26268;39.80798;41.13936;0;0.002626271;0.117748573;0.00E+00;4.35E-15;0;0.00E+00;0.00E+00;1.65E-06;8.71E-06;2.51E-09;1.04E-05;2.67E-11;1.71E-11;0.00E+00;0.00E+00;3.85E-16;4.09772E-05;0.001705466;0.004571285;0.006317728;1.22E-12;1.51E-06;7.03E-14;4.45E-12;1.14822E-07;0.017289896;0.076578435;0.022321223;0.116191177
412.39691;38.26268;39.80029;41.02192;0;0.005725222;0.118530173;0.00E+00;3.61E-15;0;0.00E+00;0.00E+00;1.41E-06;7.19E-06;1.43E-09;8.60E-06;2.35E-11;1.46E-11;0.00E+00;0.00E+00;2.57E-16;3.39E-05;1.41E-03;2.36E-03;0.003802891;1.04E-12;1.37E-06;5.11E-14;3.04E-12;6.75533E-08;0.014841661;0.076679741;0.027370699;0.11889354
413.35183;38.26268;39.7884;40.89409;0;0.010009392;0.12378717;0.00E+00;2.98E-15;0;0.00E+00;0.00E+00;1.20E-06;5.94E-06;8.15E-10;7.14E-06;2.07E-11;1.25E-11;0.00E+00;0.00E+00;1.28E-16;2.80E-05;1.17E-03;1.20E-03;0.002403486;8.89E-13;1.25E-06;3.72E-14;2.07E-12;3.97433E-08;0.01267003;0.075585647;0.03330486;0.121561822
414.30674;38.26268;39.77482;40.78157;0;0.009013889;0.127494671;0.00E+00;2.49E-15;0;0.00E+00;0.00E+00;1.02E-06;4.91E-06;4.65E-10;5.93E-06;1.82E-11;1.06E-11;0.00E+00;0.00E+00;0.00E+00;2.31E-05;9.70E-04;6.13E-04;0.001606225;7.59E-13;1.13E-06;2.70E-14;1.42E-12;2.3382E-08;0.010763681;0.073337308;0.040163076;0.12426522
415.26166;38.26268;39.77011;40.66369;0;0.008151936;0.130482868;0.00E+00;2.05E-15;0;0.00E+00;0.00E+00;8.72E-07;4.06E-06;2.65E-10;4.93E-06;1.60E-11;9.06E-12;0.00E+00;0.00E+00;0.00E+00;1.91E-05;8.03E-04;3.11E-04;0.001133504;6.47E-13;1.03E-06;1.97E-14;9.66E-13;1.37561E-08;0.009105357;0.070021698;0.047937992;0.12706609
416.21657;38.26268;39.75665;40.53668;0;0.007424168;0.137449032;0.00E+00;1.68E-15;0;0.00E+00;0.00E+00;7.43E-07;3.35E-06;1.51E-10;4.09E-06;1.41E-11;7.73E-12;0.00E+00;0.00E+00;0.00E+00;1.58E-05;6.65E-04;1.58E-04;0.000838252;5.52E-13;9.35E-07;1.43E-14;6.59E-13;8.09E-09;0.00767422;0.065772288;0.05656129;0.130008741
417.17149;38.26268;39.74948;40.40573;0;0.006056481;0.134331566;0.00E+00;1.37E-15;0;0.00E+00;0.00E+00;6.34E-07;2.77E-06;8.62E-11;3.40E-06;1.24E-11;6.59E-12;0.00E+00;0.00E+00;0.00E+00;1.30E-05;5.50E-04;8.00E-05;0.000642846;4.71E-13;8.50E-07;1.04E-14;4.50E-13;4.76E-09;0.006447553;0.060766141;0.065896105;0.133110655
418.1264;38.26268;39.74643;40.278;0;0.005185983;0.133742617;0.00E+00;1.18E-15;0;0.00E+00;0.00E+00;5.41E-07;2.29E-06;4.91E-11;2.83E-06;1.09E-11;5.62E-12;0.00E+00;0.00E+00;0.00E+00;1.08E-05;4.55E-04;4.05E-05;0.000506027;4.01E-13;7.73E-07;7.60E-15;3.07E-13;2.80E-09;0.005402325;0.055216073;0.07573707;0.136356243
419.08132;38.26268;39.74192;40.14391;0;0.005230713;0.14085656;0.00E+00;9.33E-16;0;0.00E+00;0.00E+00;4.61E-07;1.89E-06;2.80E-11;2.35E-06;9.63E-12;4.80E-12;0.00E+00;0.00E+00;0.00E+00;8.90E-06;3.76E-04;2.05E-05;4.05E-04;3.42E-13;7.02E-07;5.47E-15;2.10E-13;1.65E-09;0.004516128;0.049355577;0.085822304;0.139694714
420.03623;38.26268;39.74116;40.01389;0;0.005557775;0.139501349;0.00E+00;8.08E-16;0;0.00E+00;0.00E+00;3.93E-07;1.56E-06;1.60E-11;1.95E-06;8.48E-12;4.09E-12;0.00E+00;0.00E+00;0.00E+00;7.35E-06;3.11E-04;1.04E-05;3.29E-04;2.92E-13;6.38E-07;3.98E-15;1.43E-13;9.70E-10;0.003767968;0.043419689;0.095851718;0.143040014
420.99115;38.26268;39.73559;39.88178;0;0.004791831;0.140727796;0.00E+00;6.22E-16;0;0.00E+00;0.00E+00;3.35E-07;1.29E-06;9.11E-12;1.63E-06;7.47E-12;3.49E-12;0.00E+00;0.00E+00;0.00E+00;6.07E-06;2.57E-04;5.25E-06;2.68E-04;2.49E-13;5.80E-07;2.91E-15;9.77E-14;5.70E-10;0.003138591;0.037623668;0.10550696;0.146269799
