temperature,rate_3,rate_5,rate_10,rate_3_diff,rate_5_diff,rate_10_diff,rate_3_diff_reaction_0,rate_3_diff_reaction_1,rate_3_diff_reaction_2,rate_3_diff_reaction_3,rate_3_diff_reaction_4,rate_3_diff_reaction_5,rate_3_diff_cumulative,rate_5_diff_reaction_0,rate_5_diff_reaction_1,rate_5_diff_reaction_2,rate_5_diff_reaction_3,rate_5_diff_reaction_4,rate_5_diff_reaction_5,rate_5_diff_cumulative,rate_10_diff_reaction_0,rate_10_diff_reaction_1,rate_10_diff_reaction_2,rate_10_diff_reaction_3,rate_10_diff_reaction_4,rate_10_diff_reaction_5,rate_10_diff_cumulative
356.28701,42.47815,45.93776,55.12543,0.088379962,0.377460878,0.405263257,1.42E-08,1.60484E-13,8.08E-02,0.003272828,0.003357252,0.000964974,0.08843113,1.02E-04,3.72E-12,0.40160901,5.8765E-05,0.000807683,0.00141985,0.403997285,0.000445506,2.23E-03,0.400661161,1.80E-17,2.98E-07,2.39E-06,0.403338326
357.24193,42.41625,45.53172,54.72959,0.066028871,0.308651537,0.409880251,1.17E-08,9.9446E-14,5.25E-02,0.009846042,0.004539744,0.001223892,0.068146176,9.27E-05,2.31E-12,3.35E-01,0.000150671,0.001106659,0.001716744,0.337794885,0.00040078,1.84E-03,0.406194862,5.21E-17,4.10E-07,3.04E-06,0.408441824
358.19684,42.34849,45.17018,54.34496,0.060257263,0.236479995,0.412809093,9.67E-09,6.16607E-14,3.34E-02,0.025781726,0.006109889,0.001551844,0.066824799,8.43E-05,1.43233E-12,2.57E-01,0.000384927,0.001514565,0.002075235,0.260683599,0.000360536,1.52E-03,0.411448203,1.50E-16,5.64E-07,3.86E-06,0.413336408
359.15176,42.27116,44.93269,53.94402,0.070343537,0.170848382,0.420037726,7.99E-09,3.84082E-14,2.09E-02,0.051110834,0.008173329,0.001966985,0.082146969,7.66E-05,8.8864E-13,1.80E-01,0.000977691,0.002069648,0.002507891,0.18584449,3.24E-04,1.26E-03,0.416408102,4.35E-16,7.76E-07,4.90E-06,0.417997128
360.10667,42.1863,44.85721,53.53775,0.091662393,0.118608685,0.426298245,6.60E-09,2.36677E-14,1.30E-02,0.07212166,0.0108486,0.002492061,0.098417557,6.96E-05,5.51282E-13,1.17E-01,0.002456272,0.002822341,0.003029723,0.125433867,2.92E-04,1.04E-03,0.421058236,1.26E-15,1.07E-06,6.22E-06,0.422397821
361.06159,42.08385,44.81282,53.14531,0.100982774,0.080961491,0.432775229,5.45E-09,1.47404E-14,7.98E-03,0.080449107,0.014256829,0.003155527,0.105844735,6.33E-05,3.42029E-13,7.16E-02,0.006030938,0.003838201,0.003658659,0.085219929,2.62E-04,8.60E-04,0.425378334,3.63E-15,1.47E-06,7.90E-06,0.426510063
362.0165,41.98312,44.75098,52.7238,0.105555183,0.062151919,0.432885744,4.51E-09,9.13492E-15,4.90E-03,0.080599174,0.018501386,0.00399277,0.107993854,5.76E-05,2.12171E-13,4.21E-02,0.01408031,0.005200552,0.004415986,0.065842772,2.36E-04,7.11E-04,0.429342435,1.05E-14,2.02E-06,1.00E-05,0.430301164
362.97142,41.89556,44.68764,52.31722,0.107214932,0.062517654,0.437868469,3.72E-09,5.60552E-15,3.00E-03,0.077355423,0.023636251,0.005047624,0.109040073,5.23E-05,1.31608E-13,2.41E-02,0.029610169,0.007012206,0.005326952,0.066110705,2.12E-04,5.87E-04,0.432917591,3.03E-14,2.77E-06,1.27E-05,0.433732643
363.92633,41.78749,44.60902,51.89691,0.111963262,0.083048626,0.440017815,3.08E-09,3.5294E-15,1.83E-03,0.072765729,0.029623465,0.006373921,0.110597683,4.76E-05,8.15835E-14,1.36E-02,0.05199205,0.009394303,0.006421284,0.08145728,1.91E-04,4.85E-04,0.436061558,8.75E-14,3.81E-06,1.62E-05,0.436757741
364.88125,41.68939,44.49523,51.46331,0.114082979,0.106481462,0.442748589,2.54E-09,2.28373E-15,1.12E-03,0.067549157,0.036289851,0.00803729,0.11299669,4.32E-05,5.06084E-14,7.61E-03,0.072828186,0.012480225,0.007733873,0.100692236,1.72E-04,4.01E-04,0.438720718,2.53E-13,5.24E-06,2.05E-05,0.439319193
365.83616,41.57383,44.38841,51.04666,0.115808615,0.121591486,0.444388472,2.10E-09,1.45328E-15,6.84E-04,0.061991651,0.04329921,0.010116671,0.116091268,3.93E-05,3.14124E-14,4.23E-03,0.084154899,0.016400568,0.009305281,0.11413248,1.55E-04,3.31E-04,0.440827064,7.30E-13,7.20E-06,2.61E-05,0.441346104
366.79108,41.46173,44.27373,50.62332,0.119629396,0.127296137,0.443471811,1.74E-09,8.30447E-16,4.17E-04,0.056260553,0.050164532,0.012705762,0.119547881,3.57E-05,1.94874E-14,2.35E-03,0.086419657,0.021256615,0.011182383,0.121242446,1.39E-04,2.74E-04,0.442295255,2.11E-12,9.90E-06,3.31E-05,0.44275092
367.74599,41.34906,44.16282,50.21638,0.124923172,0.13094359,0.442989306,1.43E-09,6.22835E-16,2.54E-04,0.050495513,0.056312326,0.015913367,0.122975465,3.25E-05,1.20707E-14,1.30E-03,0.083543536,0.02707998,0.013418627,0.125375055,1.25E-04,2.26E-04,0.443018984,6.09E-12,1.36051E-05,4.20E-05,0.443425737
368.70091,41.23737,44.03471,49.7769,0.126604931,0.131298418,0.439157149,1.19E-09,4.15223E-16,1.55E-04,0.044826678,0.06119161,0.019862766,0.126036019,2.95E-05,7.56239E-15,7.19E-04,0.078331023,0.033784318,0.016074327,0.128938666,1.12E-04,1.87E-04,0.442867494,1.76E-11,1.87034E-05,5.33E-05,0.443238795
369.65582,41.09879,43.90133,49.35675,0.1314687,0.133203412,0.437034628,9.79E-10,2.07612E-16,9.44E-05,0.039372768,0.064388994,0.024688333,0.128544515,2.68E-05,4.6538E-15,3.98E-04,0.072155972,0.041121304,0.019216221,0.132918129,1.01E-04,1.54E-04,0.441682155,5.08E-11,2.57116E-05,6.76962E-05,0.442031056
370.61074,40.98837,43.7743,48.9384,0.132631237,0.137086222,0.437029429,8.09E-10,2.07612E-16,5.75E-05,0.034233702,0.065706997,0.030529452,0.130527666,2.44E-05,2.90864E-15,2.20E-04,0.065641785,0.048665262,0.022916842,0.137468126,9.10E-05,1.28E-04,0.439273899,1.47E-10,3.53451E-05,8.59424E-05,0.439613679
371.56565,40.86116,43.63035,48.52573,0.137835106,0.138660226,0.433796469,6.68E-10,0,3.50E-05,0.029485392,0.065178363,0.037519169,0.132217952,2.22E-05,1.74519E-15,1.21E-04,0.05909852,0.055846008,0.027252614,0.142340774,8.18E-05,1.05E-04,0.435422551,4.24E-10,4.85861E-05,0.000109104,0.435767416
372.52057,40.72726,43.52255,48.11148,0.139973958,0.141640504,0.428073726,5.52E-10,0,2.13E-05,0.025176785,0.063023469,0.045768123,0.133989705,2.02E-05,1.16347E-15,6.71E-05,0.052709903,0.062037061,0.032301474,0.147135679,7.36E-05,8.71E-05,0.429878927,1.22372E-09,6.67845E-05,0.000138503,0.430244846
373.47548,40.58774,43.39189,47.71257,0.144712804,0.144378226,0.419007991,4.56E-10,0,1.30E-05,0.021331014,0.05957786,0.055340916,0.136262773,1.83E-05,7.27169E-16,3.70E-05,0.046602482,0.066674125,0.038138571,0.151470545,6.62E-05,7.19E-05,0.422372343,3.53224E-09,9.17932E-05,0.000175819,0.422778055
374.4304,40.45631,43.24909,47.30815,0.146047427,0.148965337,0.4119632,3.77E-10,0,7.90E-06,0.017948352,0.055218837,0.066226823,0.139401914,1.67E-05,4.36303E-16,2.05E-05,0.040867515,0.06936403,0.044831338,0.155099991,5.95E-05,5.94E-05,0.41262416,1.01932E-08,0.000126156,0.000223178,0.413092441
