temperature,rate_3,rate_5,rate_10,rate_3_diff,rate_5_diff,rate_10_diff,rate_3_diff_reaction_0,rate_3_diff_reaction_1,rate_3_diff_reaction_2,rate_3_diff_reaction_3,rate_3_diff_reaction_4,rate_3_diff_reaction_5,rate_3_diff_cumulative,rate_5_diff_reaction_0,rate_5_diff_reaction_1,rate_5_diff_reaction_2,rate_5_diff_reaction_3,rate_5_diff_reaction_4,rate_5_diff_reaction_5,rate_5_diff_cumulative,rate_10_diff_reaction_0,rate_10_diff_reaction_1,rate_10_diff_reaction_2,rate_10_diff_reaction_3,rate_10_diff_reaction_4,rate_10_diff_reaction_5,rate_10_diff_cumulative
111.84478,100.01828,100.03919,99.95654,-0.000139714,0.0000847,0.001275611,8.45E-05,6.53E-09,0.000415001,1.26E-143,5.90E-28,6.47E-18,0.00049955,3.56E-05,4.76E-13,0.000525708,1.87E-151,1.00E-29,1.08E-21,0.000561309,1.73E-05,7.76E-11,4.29E-05,7.55E-155,7.06E-42,3.38E-27,6.01786E-05
112.79969,100.01762,100.03798,99.95611,-0.000286371,0.000675928,0.000535318,9.15E-05,7.41E-09,0.000430827,4.94E-143,7.49E-28,7.41E-18,0.000522377,3.87E-05,5.77E-13,0.000543927,7.32E-151,1.27E-29,1.27E-21,0.000582611,1.87E-05,8.89E-11,4.48E-05,2.68E-154,9.70E-42,4.09E-27,6.35122E-05
113.75461,100.01618,100.03722,99.95611,-0.000335838,0.001227607,-0.000246795,9.91236E-05,8.42E-09,0.000447255,1.93E-142,9.50E-28,8.50E-18,0.000546387,4.20E-05,6.98E-13,0.000562778,2.87E-150,1.62E-29,1.48E-21,0.000604811,2.02E-05,1.02E-10,4.68E-05,9.53E-154,1.33E-41,4.96E-27,6.70487E-05
114.70952,100.01758,100.03599,99.95528,-0.0000735,0.001245183,-0.000501372,0.000107332,9.56E-09,0.000464309,7.56E-142,1.21E-27,9.74E-18,0.00057165,4.57E-05,8.45E-13,0.000582282,1.12E-149,2.05E-29,1.74E-21,0.000627953,2.19E-05,1.17E-10,4.88771E-05,3.39E-153,1.83E-41,6.00E-27,7.08015E-05
115.66444,100.01793,100.03479,99.95489,0.000904481,0.00089416,-0.00033587,0.000116219,1.09E-08,0.000482013,2.96E-141,1.53E-27,1.12E-17,0.000598243,4.96E-05,1.02E-12,0.00060246,4.39E-149,2.61E-29,2.04E-21,0.000652085,2.37E-05,1.34E-10,5.10451E-05,1.20E-152,2.52E-41,7.26E-27,7.47853E-05
116.61935,100.02069,100.03399,99.95828,0.001778547,0.000525803,0.0000753,0.000125843,1.23E-08,0.000500392,1.16E-140,1.95E-27,1.28E-17,0.000626247,5.39E-05,1.24E-12,0.000623337,1.72E-148,3.31E-29,2.39E-21,0.000677258,2.57E-05,1.53E-10,5.33092E-05,4.27E-152,3.46E-41,8.79E-27,7.90156E-05
117.57427,100.01758,100.03359,99.95904,0.001641233,0.000176685,0.000536405,0.000136262,1.40E-08,0.000519471,4.53E-140,2.47E-27,1.47E-17,0.000655747,5.86E-05,1.50E-12,0.000644937,6.71E-148,4.20E-29,2.80E-21,0.000703525,2.78E-05,1.76E-10,5.56738E-05,1.52E-151,4.76E-41,1.06E-26,8.35092E-05
118.52918,100.01251,100.03399,99.95743,0.000871189,0.000107689,0.00086208,0.000147545,1.59E-08,0.000539276,1.77E-139,3.14E-27,1.68E-17,0.000686837,6.37E-05,1.81E-12,0.000667284,2.63E-147,5.33E-29,3.29E-21,0.000730944,3.01E-05,2.02E-10,5.81432E-05,5.39E-151,6.55E-41,1.29E-26,8.8284E-05
119.4841,100.00965,100.03399,99.95423,0.000393086,0.000481766,0.001096045,0.000159761,1.81E-08,0.000559837,6.93E-139,3.98E-27,1.93E-17,0.000719616,6.92E-05,2.20E-12,0.000690405,1.03E-146,6.77E-29,3.85E-21,0.000759575,3.26E-05,2.31E-10,6.07222E-05,1.92E-150,9.00E-41,1.56E-26,9.33592E-05
120.43901,100.00724,100.03319,99.95235,0.00040813,0.000942734,0.001269986,0.000172988,2.05E-08,0.00058118,2.71E-138,5.05E-27,2.21E-17,0.000754189,7.52E-05,2.66E-12,0.000714325,4.02E-146,8.60E-29,4.52E-21,0.000789483,3.53E-05,2.65E-10,6.34155E-05,6.80E-150,1.24E-40,1.89E-26,9.87554E-05
121.39393,100.0155,100.03319,99.95194,0.001433093,0.001471709,0.00095139,0.00018731,2.33E-08,0.000603336,1.06E-137,6.42E-27,2.53E-17,0.00079067,8.17E-05,3.22E-12,0.000739074,1.57E-145,1.09E-28,5.30E-21,0.000820736,3.83E-05,3.04E-10,6.62283E-05,2.42E-149,1.70E-40,2.28E-26,0.000104495
122.34884,100.01448,100.03194,99.95194,0.002451872,0.001975788,0.000213115,0.000202817,2.65E-08,0.000626337,4.15E-137,8.15E-27,2.90E-17,0.00082918,8.87E-05,3.89E-12,0.000764678,6.16E-145,1.39E-28,6.21E-21,0.000853409,4.14E-05,3.48E-10,6.91658E-05,8.59E-149,2.34E-40,2.76E-26,0.000110601
123.30376,100.01345,100.02719,99.95235,0.003293083,0.00213226,-0.00057079,0.000219607,3.01E-08,0.000650213,1.62E-136,1.03E-26,3.32E-17,0.00086985,9.64E-05,4.71E-12,0.000791169,2.41E-144,1.76E-28,7.28E-21,0.000887579,4.49E-05,3.99E-10,7.22336E-05,3.05E-148,3.22E-40,3.35E-26,0.000117101
124.25867,100.00038,100.02559,99.95319,0.004099919,0.001866916,-0.000908098,0.000237786,3.42E-08,0.000674998,6.35E-136,1.31E-26,3.81E-17,0.000912818,0.000104754,5.70E-12,0.000818575,9.42E-144,2.23E-28,8.54E-21,0.00092333,4.86E-05,4.57E-10,7.54374E-05,1.08E-147,4.42E-40,4.05E-26,0.00012402
125.21359,99.99759,100.02439,99.95361,0.004304978,0.00117781,-0.000489364,0.000257469,3.88E-08,0.000700727,2.48E-135,1.67E-26,4.37E-17,0.000958236,0.000113821,6.90E-12,0.00084693,3.69E-143,2.84E-28,1.00E-20,0.00096075,5.26E-05,5.24E-10,7.87833E-05,3.85E-147,6.08E-40,4.90E-26,0.000131389
126.1685,99.99029,100.02279,99.95403,0.00392977,0.000232434,0.000196365,0.00027878,4.41E-08,0.000727436,9.72E-135,2.12E-26,5.00E-17,0.001006261,0.000123671,8.36E-12,0.000876265,1.44E-142,3.60E-28,1.17E-20,0.000999936,5.70E-05,6.00E-10,8.22776E-05,1.37E-146,8.36E-40,5.93E-26,0.00013924
127.12342,99.99434,100.02279,99.95403,0.002445367,0.000176045,0.001040896,0.000301855,5.01E-08,0.000755162,3.80E-134,2.69E-26,5.74E-17,0.001057067,0.000134373,1.01E-11,0.000906615,5.64E-142,4.57E-28,1.38E-20,0.001040988,6.17E-05,6.88E-10,8.59268E-05,4.86E-146,1.15E-39,7.18E-26,0.000147606
128.07833,99.99517,100.02359,99.95445,0.000861915,0.001467897,0.001879047,0.000326837,5.69E-08,0.000783943,1.49E-133,3.41E-26,6.57E-17,0.001110837,0.000146001,1.22E-11,0.000938013,2.21E-141,5.80E-28,1.61E-20,0.001084015,6.68E-05,7.89E-10,8.97378E-05,1.73E-145,1.58E-39,8.69E-26,0.000156525
129.03325,99.99207,100.02399,99.95021,0.000961146,0.002690573,0.002378489,0.000353885,6.46E-08,0.00081382,5.82E-133,4.33E-26,7.54E-17,0.00116777,0.000158635,1.48E-11,0.000970498,8.64E-141,7.37E-28,1.89E-20,0.001129133,7.23E-05,9.04E-10,9.37179E-05,6.13E-145,2.17E-39,1.05E-25,0.000166036
129.98816,99.9872,100.02359,99.94693,0.002554912,0.002922569,0.002480648,0.000383169,7.33E-08,0.000844834,2.28E-132,5.50E-26,8.64E-17,0.001228077,0.000172361,1.79E-11,0.001004105,3.38E-140,9.36E-28,2.22E-20,0.001176466,7.83E-05,1.04E-09,9.78744E-05,2.18E-144,2.99E-39,1.27E-25,0.00017618
130.94308,99.98414,100.01759,99.94441,0.003973846,0.002674866,0.002046316,0.000414875,8.33E-08,0.000877028,8.91E-132,6.98E-26,9.90E-17,0.001291987,0.000187275,2.17E-11,0.001038874,1.32E-139,1.19E-27,2.60E-20,0.001226149,8.48E-05,1.19E-09,0.000102215,7.73E-144,4.10E-39,1.54E-25,0.000187005
131.89799,99.98107,100.00758,99.94187,0.005540006,0.002303718,0.001373828,0.000449201,9.46E-08,0.000910448,3.49E-131,8.87E-26,1.13E-16,0.001359743,0.000203477,2.63E-11,0.001074845,5.17E-139,1.51E-27,3.05E-20,0.001278322,9.18E-05,1.36E-09,0.000106749,2.75E-143,5.64E-39,1.87E-25,0.000198559
132.85291,99.97897,100.00644,99.94149,0.006464621,0.001650979,0.001118408,0.000486364,1.07E-07,0.000945139,1.36E-130,1.13E-25,1.30E-16,0.00143161,0.000221081,3.18E-11,0.001112058,2.02E-138,1.91E-27,3.58E-20,0.001333139,9.94109E-05,1.56E-09,0.000111483,9.76E-143,7.76E-39,2.26E-25,0.000210895
133.80782,99.96977,100.01036,99.94149,0.006188857,0.000648387,0.001617055,0.000526597,1.22E-07,0.00098115,5.34E-130,1.43E-25,1.49E-16,0.001507869,0.000240205,3.85E-11,0.001150557,7.92E-138,2.43E-27,4.19E-20,0.001390763,0.000107642,1.79E-09,0.000116427,3.47E-142,1.07E-38,2.73E-25,0.000224071
134.76274,99.96138,100.0136,99.94149,0.00619229,-0.000930423,0.002593865,0.000570154,1.39E-07,0.001018531,2.09E-129,1.81E-25,1.71E-16,0.001588824,0.000260983,4.66E-11,0.001190386,3.10E-137,3.09E-27,4.92E-20,0.00145137,0.000116554,2.05E-09,0.000121591,1.23E-141,1.47E-38,3.31E-25,0.000238146
135.71765,99.95828,100.01319,99.94065,0.0059735,-0.001329555,0.003244714,0.000617308,1.57E-07,0.001057334,8.17E-129,2.30E-25,1.96E-16,0.001674799,0.000283556,5.64E-11,0.001231591,1.21E-136,3.92E-27,5.77E-20,0.001515147,0.000126203,2.35E-09,0.000126983,4.37E-141,2.02E-38,4.01E-25,0.000253188
136.67257,99.9507,100.012,99.93487,0.005105553,0.000487934,0.00311196,0.000668355,1.79E-07,0.001097613,3.20E-128,2.93E-25,2.24E-16,0.001766147,0.00030808,6.83E-11,0.001274219,4.74E-136,4.98E-27,6.76E-20,0.001582299,0.000136651,2.69E-09,0.000132615,1.55E-140,2.77E-38,4.85E-25,0.000269268
137.62748,99.94548,100.0112,99.92764,0.003815675,0.002454571,0.002392592,0.000723617,2.03E-07,0.001139423,1.25E-127,3.71E-25,2.57E-16,0.001863243,0.000334722,8.27E-11,0.001318318,1.86E-135,6.32E-27,7.93E-20,0.00165304,0.000147963,3.09E-09,0.000138496,5.52E-140,3.81E-38,5.87E-25,0.000286462
