temperature,rate_3_diff_reaction_0_conversion,rate_3_diff_reaction_1_conversion,rate_3_diff_reaction_2_conversion,rate_3_diff_reaction_3_conversion,rate_3_diff_reaction_4_conversion,rate_3_diff_reaction_5_conversion,rate_3_diff_reaction_6_conversion,rate_5_diff_reaction_0_conversion,rate_5_diff_reaction_1_conversion,rate_5_diff_reaction_2_conversion,rate_5_diff_reaction_3_conversion,rate_5_diff_reaction_4_conversion,rate_5_diff_reaction_5_conversion,rate_5_diff_reaction_6_conversion,rate_10_diff_reaction_0_conversion,rate_10_diff_reaction_1_conversion,rate_10_diff_reaction_2_conversion,rate_10_diff_reaction_3_conversion,rate_10_diff_reaction_4_conversion,rate_10_diff_reaction_5_conversion,rate_10_diff_reaction_6_conversion
41.18107,1.3313943988171473e-07,1.1048913296089359e-13,9.355913485833049e-17,8.580537797351832e-06,4.1681919026841467e-187,3.367738779357161e-35,6.505982635471005e-22,4.21393928818061e-08,5.441764078714008e-31,3.708773328475596e-17,1.484717302305066e-05,5.668776015919509e-195,6.167673345405371e-37,1.8957491681594205e-26,2.6688356005048513e-08,2.5053931914844464e-17,3.748241125834165e-16,5.743899271373345e-07,2.3701623927995167e-195,8.7703914138341e-52,6.096932099840168e-33
42.13598,1.5208477194331446e-07,1.3128507965454808e-13,1.1309947213032933e-16,9.55029301094957e-06,1.6307129528229855e-186,4.3459456955387264e-35,7.729452821344976e-22,4.8232719727084683e-08,7.545224670600505e-31,4.4837039371624195e-17,1.6491829384343873e-05,2.2237979206052906e-194,7.96318250493363e-37,2.2914440181772187e-26,3.04779855035724e-08,3.028996658159035e-17,4.453507319296667e-16,6.416809153650741e-07,8.425442037278178e-195,1.2163238626544168e-51,7.558861425357042e-33
43.0909,1.7259645035646377e-07,1.5510411824739738e-13,1.360268011961413e-16,1.0555965084310186e-05,6.3703543290894275e-186,5.588699136222224e-35,9.132845093376885e-22,5.4854624322797066e-08,1.0424190462208412e-30,5.392328644472528e-17,1.819684010751941e-05,8.679534635251606e-194,1.0242352803375404e-36,2.756008517683182e-26,3.458219814579614e-08,3.641513921061384e-17,5.2620765175882155e-16,7.119460909177965e-07,2.988407051262007e-194,1.6825437768484923e-51,9.329856346536879e-33
44.04581,1.9474906304266503e-07,1.8240946443367296e-13,1.6286219771635306e-16,1.1601145703409969e-05,2.4953840300781595e-185,7.169826038477961e-35,1.0740149063054457e-21,6.204915481481275e-08,1.4392494661451741e-30,6.456929800176471e-17,1.9958433044959617e-05,3.4002279133380007e-193,1.3137694141802891e-36,3.3020755609621205e-26,3.9030257479970894e-08,4.3602337739024466e-17,6.187977523833741e-16,7.85185453795502e-07,1.0622252468639381e-193,2.3231512925350085e-51,1.1473692303754576e-32
45.00073,2.1876637376642534e-07,2.1361557436084503e-13,1.9438727518184453e-16,1.268583486824892e-05,9.758287721767025e-185,9.175457828887963e-35,1.258335087902799e-21,6.983099391842153e-08,1.9865123328382082e-30,7.707217203968311e-17,2.1780380344282143e-05,1.3279224532360934e-192,1.6808218401502726e-36,3.941870529579981e-26,4.3844111167285014e-08,5.202445010393176e-17,7.2503405241127e-16,8.617707774138133e-07,3.775385169033603e-193,3.206952402139554e-51,1.4068862146702316e-32
45.95564,2.447975583707494e-07,2.4945384123033173e-13,2.3125337816834903e-16,1.3810032578827036e-05,3.8230234118763287e-184,1.1722487157813547e-34,1.4694436689947787e-21,7.834696878652172e-08,2.7386745666817152e-30,9.167949022259766e-17,2.366645415310464e-05,5.188859423012461e-192,2.147256691924403e-36,4.6916939322913594e-26,4.905302275598966e-08,6.190376079590513e-17,8.467020358765914e-16,9.417020617727305e-07,1.3419435437836683e-192,4.416988820658529e-51,1.720857613438956e-32
46.91056,2.7299179269864193e-07,2.906556582435511e-13,2.745026579970398e-16,1.4977330521120609e-05,1.493901685549403e-183,1.4952415654639467e-34,1.711338918162672e-21,8.75970794191133e-08,3.770952391060046e-30,1.0888641587874279e-16,2.562042661904474e-05,2.0319980826832396e-191,2.7389134002117585e-36,5.567846277850852e-26,5.4693571681398763e-08,7.34872525822439e-17,9.857147213872834e-16,1.0249793068722534e-06,4.7703910817980625e-192,6.083754671657704e-51,2.1010573541354581e-32
47.86547,3.0349825259310766e-07,3.377086208681152e-13,3.2530753490423683e-16,1.6191320381105924e-05,5.841414458743442e-183,1.9055962906797354e-34,1.988818757704024e-21,9.765473939264541e-08,5.189685983861419e-30,1.2906432150429427e-16,2.764229774210245e-05,7.956269789344143e-191,3.487594341269667e-36,6.594778329390347e-26,6.080233737882626e-08,8.707130478370728e-17,1.1451329387160587e-15,1.1119742861280051e-06,1.6930280551158466e-191,8.373333385129883e-51,2.56122168545587e-32
48.82039,3.3654070181865366e-07,3.918317177730543e-13,3.8484042912626e-16,1.7452002158782984e-05,2.2873435087844797e-182,2.4266914215009844e-34,2.3066811099163792e-21,1.0851994870711805e-07,7.142714128979215e-30,1.5270837042748648e-16,2.9732067522277773e-05,3.1090628960473794e-190,4.44166562898948e-36,7.801015977230392e-26,6.741589928358609e-08,1.0300169327451435e-16,1.3287827250788078e-15,1.203058772955608e-06,6.009418840385768e-191,1.152298700392192e-50,3.115577436406899e-32
49.7753,3.7234290413978697e-07,4.5375634215978636e-13,4.546645676448692e-16,1.8759375854151785e-05,8.95352976101534e-182,3.0911338551337454e-34,2.6713232045297985e-21,1.203395345154295e-07,9.814186890561325e-30,1.8043751680861243e-16,3.189350810718835e-05,1.2175230679327916e-189,5.6541312238000745e-36,9.215085111691525e-26,7.457815271805497e-08,1.2169828875907394e-16,1.5392147719527912e-15,1.2978609939394402e-06,2.130177476534206e-190,1.5853019285877078e-50,3.7876724618962e-32
