temperature,rate_3_diff_reaction_0_conversion,rate_3_diff_reaction_1_conversion,rate_3_diff_reaction_2_conversion,rate_3_diff_reaction_3_conversion,rate_3_diff_reaction_4_conversion,rate_3_diff_reaction_5_conversion,rate_3_diff_reaction_6_conversion,rate_5_diff_reaction_0_conversion,rate_5_diff_reaction_1_conversion,rate_5_diff_reaction_2_conversion,rate_5_diff_reaction_3_conversion,rate_5_diff_reaction_4_conversion,rate_5_diff_reaction_5_conversion,rate_5_diff_reaction_6_conversion,rate_10_diff_reaction_0_conversion,rate_10_diff_reaction_1_conversion,rate_10_diff_reaction_2_conversion,rate_10_diff_reaction_3_conversion,rate_10_diff_reaction_4_conversion,rate_10_diff_reaction_5_conversion,rate_10_diff_reaction_6_conversion
254.47403,0.9464519118827264,0.4325492082921152,0.07073362039991012,0.032058321629631605,6.050004866784125e-79,1.1918103730231495e-15,1.7342118138130392e-13,0.8121799348212653,0.1583310420354271,0.015917310776599886,0.011735443795783937,2.0449832111288914e-60,2.6742698607450877e-18,1.6555978431768928e-12,0.6485889012450252,0.03934973554676054,0.007146817845805477,0.0009646338794653115,6.69415693587529e-64,2.0321347355166984e-31,1.96478469788006e-17
255.42894,0.9518582477968301,0.45977262789705625,0.08004607592719812,0.03359532304016688,4.0885992971609934e-78,1.6384051421685467e-15,2.201803922487059e-13,0.8257885878596021,0.1764471951273659,0.018567263863938376,0.012366686269731579,6.753207649288247e-60,3.674907567401604e-18,2.0040433693643045e-12,0.6671248119050824,0.043098708294251574,0.007856195338151841,0.0010325261146849596,1.9337506653183653e-63,3.274182916281339e-31,2.49428436822328e-17
256.38386,0.9567625525799874,0.48767395690548315,0.09044467188429264,0.035203327233254054,2.7520878291438444e-77,2.2523892550715888e-15,2.7975228880373767e-13,0.8387211225848438,0.19607904462534603,0.021640316434103482,0.013032755914655643,2.231540607233598e-59,5.051724863026735e-18,2.4257748578337135e-12,0.6854115999110199,0.04718514784779129,0.008635258204315122,0.001105299490998831,5.587464439557477e-63,5.274458184140672e-31,3.164947893479248e-17
257.33877,0.9612035468971218,0.5161065246495199,0.10202129168139523,0.03688651084316089,1.8529822351957326e-76,3.09603154761012e-15,3.549263487422302e-13,0.850971192471485,0.21724187906253303,0.025197789349539212,0.013733652730556127,7.348602461591665e-59,6.947669991428556e-18,2.9383269866771313e-12,0.7033973116351941,0.05163563957727887,0.009490700993210498,0.0011833977485064,1.6141447042564878e-62,8.502339212058081e-31,4.019503030498949e-17
258.29369,0.96521841551499,0.5449027703085971,0.11486766535063861,0.03864905050415515,1.255372297591577e-75,4.254365806413024e-15,4.5043050036220183e-13,0.8625379465118211,0.23992997146203665,0.029307827663260944,0.014469376717433032,2.4229631259473954e-58,9.550832747091372e-18,3.5542887555503624e-12,0.7210304080524443,0.05647816140392061,0.010429832375118187,0.001266820887207667,4.6678351020809646e-62,1.3701610666421693e-30,5.101218393815026e-17
259.2486,0.9688425865403036,0.5738767100117695,0.1290734593804865,0.040495122850504585,8.488135747158549e-75,5.847912358985805e-15,5.719382576212747e-13,0.8734257561694369,0.2641143716777832,0.03404546181698901,0.015244281271658413,8.001615611497557e-58,1.3132062434072588e-17,4.30063659228727e-12,0.738260419225707,0.061742005832974636,0.011460621387586965,0.0013560126472021068,1.3486035794746032e-61,2.207821467622973e-30,6.480405482043025e-17
260.20352,0.9721095511531271,0.6028277051972926,0.14472425810731745,0.042424727882209204,5.722727605525564e-74,8.037364975335804e-15,7.260687201366744e-13,0.8836437940394626,0.2897413772692176,0.03949247446868845,0.01606271978960432,2.6333357821697853e-57,1.8052491457782074e-17,5.2043469247217175e-12,0.7550386234165054,0.0674577034506693,0.012591753913327978,0.0014514167685891943,3.898702929236798e-61,3.558187803686855e-30,8.22737579379849e-17
261.15843,0.9750507797774804,0.6315454513991673,0.1618992908680782,0.044442042233536753,3.8684133390809175e-73,1.1050373162973414e-14,9.218049516746362e-13,0.8932055961923245,0.3167315324924378,0.04573690445508847,0.016924692271270754,8.699955506408732e-57,2.4823724059217143e-17,6.301388323298858e-12,0.7713187965522259,0.07365687675085127,0.013832683436271882,0.0015534769914684037,1.1259703993466325e-60,5.7389933303782585e-30,1.0444892288596448e-16
262.11335,0.9776956624656131,0.6598160259227348,0.1806692380330868,0.046555419173022757,2.6050970786996905e-72,1.5194933314412708e-14,1.1704939801504038e-12,0.9021285148059973,0.34497946168218,0.052872229464000636,0.017830198716657718,2.874617720389395e-56,3.4152977865638796e-17,7.627729358463843e-12,0.7870579363146937,0.08037209213141626,0.015193693173983596,0.0016630807960386854,3.2474816230983745e-60,9.248501562073696e-30,1.3262760810034828e-16
263.06826,0.980071520002894,0.6874287016295001,0.20109398779091153,0.04876485870066721,1.7632998673696297e-71,2.0892866575922944e-14,1.4863195904580328e-12,0.9104331933184318,0.37435433221102876,0.060996038766537024,0.01878359252213726,9.481957898310507e-56,4.69430838905717e-17,9.232826814578758e-12,0.802217011942481,0.08763662892089068,0.016685950738031544,0.0017802281823000392,9.387006528198111e-60,1.4909930479047405e-29,1.6837830085794466e-16
