temperature,rate_3,rate_10,rate_5,rate_3_diff,rate_3_diff_reaction_0,rate_3_diff_reaction_1,rate_3_diff_reaction_2,rate_3_diff_reaction_3,rate_3_diff_reaction_4,rate_3_diff_reaction_5,rate_3_diff_cumulative,rate_5_diff,rate_5_diff_reaction_0,rate_5_diff_reaction_1,rate_5_diff_reaction_2,rate_5_diff_reaction_3,rate_5_diff_reaction_4,rate_5_diff_reaction_5,rate_5_diff_cumulative,rate_10_diff,rate_10_diff_reaction_0,rate_10_diff_reaction_1,rate_10_diff_reaction_2,rate_10_diff_reaction_3,rate_10_diff_reaction_4,rate_10_diff_reaction_5,rate_10_diff_cumulative
55.50479,100.00552,99.97988,100.04238,-0.002288609,7.72945E-07,3.56743E-12,4.55781E-05,1.4012E-178,4.50339E-34,2.06653E-21,4.6351E-05,9.37E-05,2.65377E-07,6.08533E-18,7.03579E-05,2.0788E-186,7.65909E-36,9.01476E-26,7.06232E-05,0.001311113,1.57859E-07,1.20817E-15,9.08388E-06,2.5009E-187,4.92565E-50,4.3207E-32,9.24174E-06
56.45971,100.00862,99.98224,100.04279,-0.002831701,8.36966E-07,4.05183E-12,4.73171E-05,5.4821E-178,5.71767E-34,2.36858E-21,4.81541E-05,0.000658087,2.88353E-07,7.36593E-18,7.27984E-05,8.1332E-186,9.72425E-36,1.057E-25,7.30868E-05,0.000132893,1.70935E-07,1.40357E-15,9.45259E-06,8.8839E-187,6.77177E-50,5.22995E-32,9.62353E-06
57.41462,100.00741,99.98492,100.03995,-0.002542246,9.0629E-07,4.602E-12,4.91225E-05,2.1448E-177,7.25933E-34,2.71476E-21,5.00288E-05,0.001165088,3.13319E-07,8.916E-18,7.53236E-05,3.1821E-185,1.23462E-35,1.23935E-25,7.5637E-05,-0.000335385,1.85093E-07,1.63056E-15,9.83627E-06,3.1558E-186,9.30978E-50,6.33053E-32,1.00214E-05
58.36954,100.00484,99.98784,100.04365,-0.001459836,9.81357E-07,5.22687E-12,5.09967E-05,8.3917E-177,9.21671E-34,3.11155E-21,5.19781E-05,-0.00025486,3.40447E-07,1.07923E-17,7.79364E-05,1.245E-184,1.56752E-35,1.45315E-25,7.82769E-05,-0.001078086,2.00424E-07,1.89427E-15,1.02355E-05,1.121E-185,1.27991E-49,7.66272E-32,1.04359E-05
59.32445,100.01241,99.98986,100.04201,-0.001137794,1.06264E-06,5.93658E-12,5.29425E-05,3.2832E-176,1.17018E-33,3.56633E-21,5.40051E-05,-0.000393447,3.69923E-07,1.30634E-17,8.06398E-05,4.8709E-184,1.99018E-35,1.70385E-25,8.10098E-05,-0.001748785,2.17024E-07,2.20062E-15,1.0651E-05,3.9823E-185,1.75961E-49,9.27525E-32,1.0868E-05
60.27937,100.01241,99.98661,100.04239,-0.002087439,1.15066E-06,6.74267E-12,5.49625E-05,1.2845E-175,1.48571E-33,4.08759E-21,5.61131E-05,0.000564782,4.01951E-07,1.58124E-17,8.3437E-05,1.9057E-183,2.5268E-35,1.99779E-25,8.3839E-05,-0.001293436,2.35E-07,2.55653E-15,1.10833E-05,1.4146E-184,2.4191E-49,1.12271E-31,1.13183E-05
61.23428,100.01159,99.98459,100.03835,-0.002561923,1.24596E-06,7.65821E-12,5.70595E-05,5.0257E-175,1.8863E-33,4.68502E-21,5.83055E-05,-0.000397673,4.36752E-07,1.914E-17,8.63312E-05,7.456E-183,3.2081E-35,2.34244E-25,8.67679E-05,-0.000456624,2.54465E-07,2.96998E-15,1.15331E-05,5.0251E-184,3.32577E-49,1.35897E-31,1.17876E-05
62.1892,100.01477,99.98871,100.04193,-0.001935073,1.34916E-06,8.69807E-12,5.92366E-05,1.9663E-174,2.39492E-33,5.36978E-21,6.05858E-05,-0.001232391,4.74567E-07,2.31678E-17,8.93257E-05,2.9171E-182,4.07312E-35,2.74655E-25,8.98003E-05,-0.00029161,2.75541E-07,3.45031E-15,1.20013E-05,1.7851E-183,4.57226E-49,1.64496E-31,1.22768E-05
63.14411,100.01724,99.9925,100.04611,-0.000662149,1.46091E-06,9.87911E-12,6.14967E-05,7.6929E-174,3.04066E-33,6.15462E-21,6.29576E-05,-0.001958021,5.15655E-07,2.80432E-17,9.24241E-05,1.1413E-181,5.17137E-35,3.22038E-25,9.29398E-05,-0.001007996,2.98364E-07,4.00832E-15,1.24884E-05,6.3411E-183,6.28591E-49,1.99112E-31,1.27868E-05
64.09903,100.02414,99.99134,100.04137,-1.68E-05,1.58192E-06,1.12205E-11,6.38431E-05,3.0098E-173,3.86053E-33,7.05418E-21,6.5425E-05,-0.003030011,5.60301E-07,3.39446E-17,9.563E-05,4.4653E-181,6.56576E-35,3.77595E-25,9.61903E-05,-0.001451294,3.23077E-07,4.65658E-15,1.29953E-05,2.2526E-182,8.64185E-49,2.41013E-31,1.33184E-05
