temperature,rate_3_diff_reaction_0_conversion,rate_3_diff_reaction_1_conversion,rate_3_diff_reaction_2_conversion,rate_3_diff_reaction_3_conversion,rate_3_diff_reaction_4_conversion,rate_3_diff_reaction_5_conversion,rate_3_diff_reaction_6_conversion,rate_5_diff_reaction_0_conversion,rate_5_diff_reaction_1_conversion,rate_5_diff_reaction_2_conversion,rate_5_diff_reaction_3_conversion,rate_5_diff_reaction_4_conversion,rate_5_diff_reaction_5_conversion,rate_5_diff_reaction_6_conversion,rate_10_diff_reaction_0_conversion,rate_10_diff_reaction_1_conversion,rate_10_diff_reaction_2_conversion,rate_10_diff_reaction_3_conversion,rate_10_diff_reaction_4_conversion,rate_10_diff_reaction_5_conversion,rate_10_diff_reaction_6_conversion
256.97585,0.6173438830888448,0.012341122282443185,0.0031529824197804395,0.04117857044097951,6.445165474947602e-57,4.9295066175569946e-17,4.664142581465884e-14,0.6054512554660365,0.06190869673726951,0.006621869370604358,0.009282635752445565,6.970577167094991e-48,1.1370195061075569e-17,1.0310621878112324e-11,0.24572566115279704,0.0031971654008794864,0.0004419028403832231,0.0009927740752557841,4.165509429156283e-65,5.2685675390626555e-21,1.1626458124089815e-16
257.93077,0.641419326302815,0.014890001153359967,0.003811686981499395,0.04274292622675004,2.122666922943119e-56,6.775300594367202e-17,5.921739923537687e-14,0.6259697860622568,0.0699952347370215,0.007579094819607071,0.009814646904940811,1.8069302625853234e-47,1.563106317835141e-17,1.2483132030636714e-11,0.2566181293664247,0.0037441683988144498,0.0005064318096814177,0.0010627800958695963,1.2041787868021573e-64,7.241027085080519e-21,1.4764202591688374e-16
258.88568,0.6655862331529553,0.01795343861335177,0.004606798262679849,0.04436315186201238,7.013459775936682e-56,9.319987436183214e-17,7.52006560952057e-14,0.6465342286786632,0.07900786627213302,0.008672950576599746,0.010376450681975789,4.701847819744766e-47,2.1493149250527085e-17,1.511245360887528e-11,0.2678337745443193,0.004383849935042676,0.0005803736875344411,0.0011378164892221255,3.483487659785682e-64,9.958892854884201e-21,1.8745762802565429e-16
259.8406,0.6897086365224013,0.021630008557046006,0.005566015206353882,0.04604354502749667,2.318382965500262e-55,1.2814451761212245e-16,9.545850490591897e-14,0.6670747057408389,0.08902056427722871,0.009922407809327632,0.010968047083550501,1.222123431805348e-46,2.954447117064492e-17,1.829419830658215e-11,0.27937043818056434,0.00513158029552134,0.0006650985562936541,0.0012178832553133715,1.0068157737293641e-63,1.3697391761871545e-20,2.379615628826191e-16
260.79551,0.7136357096659651,0.026034814521152187,0.006722407980610779,0.0477841057232029,7.635756128186976e-55,1.761710016689317e-16,1.2116800721920952e-13,0.6875151563293265,0.10010588250457533,0.01134890684748885,0.01159369219888491,3.173649324970339e-46,4.0581114701592946e-17,2.214522486056793e-11,0.29122507258112185,0.006005154200762071,0.0007621746979452415,0.0013038187895997877,2.9062398345489677e-63,1.8834960811964584e-20,3.023415788512748e-16
261.75043,0.7372045070943021,0.031301274193168534,0.008115356569669855,0.04958913162986121,2.5194992131835262e-54,2.4220741724704447e-16,1.5381597762668933e-13,0.7077738225381405,0.11233324299657366,0.012976637669492435,0.012253386027979013,8.251316222352236e-46,5.577911562945582e-17,2.680363905069969e-11,0.3033937274629479,0.007025135396828013,0.0008733975438496911,0.0013956230920813735,8.401906783853688e-63,2.589911825584251e-20,3.835979096855004e-16
262.70534,0.7602441664815146,0.037582567252468634,0.009791583766526661,0.051462920428201754,8.313055047155617e-54,3.327050831003604e-16,1.9526093436787337e-13,0.7277640822745541,0.1257669557948244,0.014832821435028305,0.012951384660052774,2.1477297394039144e-45,7.667636690526725e-17,3.2434105460665106e-11,0.31587151115273726,0.008215221310795398,0.0010008214989234898,0.0014937153604863559,2.423044062401705e-62,3.560086695311642e-20,4.867309449750944e-16
263.66026,0.7825814994285273,0.04505262618367464,0.011806308942248918,0.0534054721182245,2.7459566621755165e-53,4.572513757103695e-16,2.4791895115413114e-13,0.7473956492127242,0.14046422272095077,0.01694802011511761,0.013687688095106194,5.579085693736672e-45,1.0544401151872195e-16,3.928627684637773e-11,0.32865257963848876,0.009602648352936793,0.0011467974462661549,0.0015989339902711872,7.006987462513016e-62,4.890350110067875e-20,6.17991171707305e-16
264.61517,0.8040477986671237,0.053906170567929235,0.014224455001892037,0.05541678669992948,9.04545658438832e-53,6.283905259874322e-16,3.148256077766704e-13,0.7665762014372359,0.1564730144554845,0.01935643336325759,0.01446655242235923,1.4485812874390164e-44,1.4497690678941286e-16,4.7572623638402305e-11,0.34173010039587465,0.011218605115241998,0.0013140142212550914,0.0017112789814358676,2.0302955888250243e-61,6.725196199386816e-20,7.848791742668299e-16
265.57009,0.8244862671305621,0.06435754345059568,0.017121917131669124,0.05750116185404682,2.987844845312358e-52,8.640428638034925e-16,3.996979407145211e-13,0.7852133767248209,0.17383012391344624,0.02209621393229788,0.015287977641811888,3.760815758013651e-44,1.9934594582301751e-16,5.7558733874944734e-11,0.35509624249085525,0.013098673530741093,0.0015055469295504895,0.00183158872943685,5.854469364608493e-61,9.24810957220036e-20,9.967706831345413e-16
