temperature,rate_3_diff_reaction_0_conversion,rate_3_diff_reaction_1_conversion,rate_3_diff_reaction_2_conversion,rate_3_diff_reaction_3_conversion,rate_3_diff_reaction_4_conversion,rate_3_diff_reaction_5_conversion,rate_3_diff_reaction_6_conversion,rate_5_diff_reaction_0_conversion,rate_5_diff_reaction_1_conversion,rate_5_diff_reaction_2_conversion,rate_5_diff_reaction_3_conversion,rate_5_diff_reaction_4_conversion,rate_5_diff_reaction_5_conversion,rate_5_diff_reaction_6_conversion,rate_10_diff_reaction_0_conversion,rate_10_diff_reaction_1_conversion,rate_10_diff_reaction_2_conversion,rate_10_diff_reaction_3_conversion,rate_10_diff_reaction_4_conversion,rate_10_diff_reaction_5_conversion,rate_10_diff_reaction_6_conversion
148.04055,0.003537625513061085,3.72674191935986e-06,2.393448744385632e-07,3.973709409222785e-05,1.7500468404094873e-167,2.7883617952261955e-16,5.873025218512175e-21,0.0016625871644057849,7.587856995439417e-07,4.925949315595314e-09,4.270385700955307e-11,3.301440952985344e-189,2.5711241635834087e-21,2.5214785310461825e-19,0.0007426949484322723,2.2115281141629784e-07,1.199617171397265e-08,1.1690682830203825e-18,2.5476925943397577e-116,5.008985189441946e-23,1.3709060431338864e-30
148.99546,0.0037302844518225862,4.099850883725353e-06,2.661094358104922e-07,4.203749849638524e-05,1.1810064943472086e-166,3.2692565894073524e-16,7.109137442831558e-21,0.0017531628173048368,8.348271883881847e-07,5.548581787890172e-09,4.8120389768878825e-11,2.2298058440089516e-188,3.111861029100978e-21,2.95660792128533e-19,0.0007831849386735688,2.43326831537228e-07,1.3266717703737882e-08,1.4150036654717951e-18,7.353924241714261e-116,6.06483901173268e-23,1.7404041510951993e-30
149.95038,0.003933401426814029,4.510532881973085e-06,2.958689658616957e-07,4.446719963520254e-05,7.997033252581652e-166,3.8333831748890935e-16,8.604680627810564e-21,0.0018486585582357352,9.185130597088331e-07,6.253266601495206e-09,5.4218680115694775e-11,1.5060541857812896e-187,3.765015895695951e-21,3.4674321787699213e-19,0.0008258773859545459,2.676982770755476e-07,1.4670227808711107e-08,1.7129403103818395e-18,2.1251012648463794e-115,7.340662380333982e-23,2.20976661255957e-30
150.90529,0.0041475417206562485,4.96228308004559e-06,3.290037780752561e-07,4.703697223656806e-05,5.392320285351961e-165,4.493952947115957e-16,1.0415610470846368e-20,0.0019493407603753323,1.0105474013655557e-06,7.044830364722778e-09,6.109880255825636e-11,1.0166800995098953e-186,4.5563381379167845e-21,4.06648971709276e-19,0.0008708918679156382,2.9446691397829207e-07,1.6221475819470984e-08,2.0732784702422427e-18,6.148923109159916e-115,8.885948443165732e-23,2.803959515902762e-30
151.86021,0.004373301302489707,5.459470435371036e-06,3.6579910756348533e-07,4.975759102837014e-05,3.637426009550852e-164,5.266819580621388e-16,1.2608056432499266e-20,0.0020554902320935966,1.1121372211177852e-06,7.937752902509977e-09,6.885457694805306e-11,6.861793172465026e-186,5.5172294320420825e-21,4.767712106912518e-19,0.0009183544214891332,3.239323911660146e-07,1.7935235526596185e-08,2.5094772953364147e-18,1.773603971639612e-114,1.0755689586805574e-22,3.557935384850847e-30
152.81512,0.0046113077951713865,6.0064639053775885e-06,4.0673034618023646e-07,5.2634443374552924e-05,2.455934771664481e-163,6.178405866294459e-16,1.5258321736492675e-20,0.0021674027752207523,1.2237854388652848e-06,8.946514039793897e-09,7.761109642040416e-11,4.6423229215027196e-185,6.679091454350449e-21,5.589674775774088e-19,0.0009683979466049128,3.563943575592681e-07,1.9831205317524925e-08,3.0374430541811135e-18,5.123063080933936e-114,1.3021375913804438e-22,4.516633178480199e-30
153.77004,0.004862222673449545,6.608506238979051e-06,4.522728857793626e-07,5.567830400300475e-05,1.6598279061477122e-162,7.241923199579711e-16,1.846814401445782e-20,0.002285390142076653,1.3464978944075816e-06,1.0080766993199258e-08,8.743090754296933e-11,3.1301741083517587e-184,8.085886551631931e-21,6.555597008108588e-19,0.0010211625291550452,3.921524620786059e-07,2.192908357969543e-08,3.679811590434803e-18,1.481004159502208e-113,1.5759996765371027e-22,5.734978291217502e-30
154.72495,0.0051267424070145905,7.270840185089223e-06,5.026644222877902e-07,5.889994764161394e-05,1.1209555235866556e-161,8.490400069088482e-16,2.2354521542770616e-20,0.00240978075324282,1.4812804275442027e-06,1.1359818195975517e-08,9.85016500187275e-11,2.112884546104896e-183,9.787857405932295e-21,7.684054231460912e-19,0.001076795844699527,4.314064706710633e-07,2.4248568700545917e-08,4.45065383393923e-18,4.279050645686899e-113,1.9076037676002864e-22,7.282875770514894e-30
155.67987,0.0054056011862357875,7.99958228410754e-06,5.58760661042455e-07,6.230476165432466e-05,7.572488872289844e-161,9.95686496343212e-16,2.705988700571477e-20,0.002540920734344264,1.6301447178742023e-06,1.2798147473059764e-08,1.1101096355065766e-10,1.4266442825846966e-182,1.184780736980875e-20,9.007553444034627e-19,0.0011354534814308746,4.746557982042288e-07,2.6814283664374162e-08,5.386676558194606e-18,1.2363951943983543e-112,2.309048189617076e-22,9.250203534525127e-30
156.63478,0.005699571889358142,8.800849076433434e-06,6.215123857510629e-07,6.590890813296938e-05,5.0947204606509026e-160,1.1674346371221964e-15,3.275719437706337e-20,0.002679174633821522,1.7930907653975802e-06,1.4419887866013812e-08,1.2508394127407907e-10,9.62405895807055e-182,1.4341100466329946e-20,1.0563245500919519e-18,0.0011972994246210137,5.222000935986555e-07,2.965085145547794e-08,6.5184687411177735e-18,3.5724473206803804e-112,2.7951808869634344e-22,1.1746812372101566e-29
157.5897,0.006009468984093088,9.68337847692324e-06,6.909195964136141e-07,6.971777444149228e-05,3.447288926886995e-159,1.36890841765139e-15,3.962448451217105e-20,0.0028249266989698258,1.9731360895129176e-06,1.624917241639948e-08,1.4090822289197073e-10,6.486750568417087e-181,1.735566138907598e-20,1.2383637400319153e-18,0.0012625065410681684,5.745387717219321e-07,3.278781965501458e-08,7.888854951792311e-18,1.0316074670872513e-111,3.3835994233442076e-22,1.491251237814849e-29
158.54461,0.006336149934450331,1.0653287025976394e-05,7.684084685916679e-07,7.374752267172586e-05,2.3275730405387187e-158,1.6053923961086071e-15,4.79669703059315e-20,0.0029785815139586865,2.1702806902202144e-06,1.8310134165778585e-08,1.5879654124263084e-10,4.390973060867859e-180,2.101081650790554e-20,1.451981156798199e-18,0.00133125706354375,6.320713644681292e-07,3.625473584414142e-08,9.552895350468535e-18,2.980180452805751e-111,4.098500448853559e-22,1.8932052606646557e-29
159.49953,0.006680518278182511,1.1719312638449232e-05,8.544543941390774e-07,7.80089275515584e-05,1.5704481170335723e-157,1.8821711306716628e-15,5.803899583742277e-20,0.003140565435375966,2.387542086918051e-06,2.0631732764025303e-08,1.7893653602903838e-10,2.9624753888015617e-179,2.5432172527933052e-20,1.7022850429656487e-18,0.0014037429944980982,6.953971696783531e-07,4.008607220087535e-08,1.1565650097396762e-17,8.60607951291079e-111,4.961880918122544e-22,2.4025134635302492e-29
160.45444,0.007043525033617044,1.2890193229198086e-05,9.500081567635486e-07,8.251815117282244e-05,1.0609884673408662e-156,2.20717145860728e-15,7.024751163316976e-20,0.0033113274695048,2.626931959205483e-06,2.324775446932618e-08,2.0164094008949162e-10,1.9998841540463466e-178,3.078301816580726e-20,1.995776798174978e-18,0.0014801666712485175,7.6511548519371e-07,4.432615009695235e-08,1.4000532739577417e-17,2.4887654938512786e-110,6.006736263097749e-22,3.0516317613001234e-29
161.40936,0.007426172128808751,1.4183404627935625e-05,1.056495932026641e-06,8.728596826340628e-05,7.148028406512802e-156,2.5876596474099535e-15,8.5050337035513e-20,0.0034913407078676693,2.890461986681563e-06,2.6196812148180125e-08,2.2715993969462912e-10,1.351190563309822e-177,3.725176347919979e-20,2.340350979132766e-18,0.0015607414119084635,8.418256088553062e-07,4.901436630724887e-08,1.6949310210761017e-17,7.183224312217072e-110,7.271561154383523e-22,3.875512677700348e-29
162.36427,0.007829514160079657,1.5607684749518184e-05,1.1748685036360605e-06,9.233392827908656e-05,4.833578368354446e-155,3.0342048134353135e-15,1.0295616020260859e-19,0.003681103284255779,3.1801438489453456e-06,2.9517518667086034e-08,2.5593136081806847e-10,9.120914038335545e-177,4.5102182548850916e-20,2.743902142545593e-18,0.001645691838352135,9.261268385042478e-07,5.41851930097818e-08,2.0515985035864834e-17,2.0782251841610047e-109,8.800349501241981e-22,4.9190951718073e-29
163.31919,0.00825466182117162,1.71717715088021e-05,1.3065520471533665e-06,9.767280594775162e-05,3.26444255155891e-154,3.55737607303899e-15,1.246262757400595e-19,0.0038811399697780157,3.498995065395412e-06,3.325814010916755e-08,2.883930294334272e-10,6.1513086094701655e-176,5.458548878498947e-20,3.217575544940396e-18,0.0017352549258494,1.0189181209021943e-06,5.98977253668658e-08,2.4835148717722975e-17,5.990274199465834e-109,1.0653592928908528e-21,6.247291073397965e-29
164.2741,0.0087027840134941,1.889314073550004e-05,1.4527987447216083e-06,0.00010332953808912226,2.2035853142418467e-153,4.171045391437746e-15,1.5087458470091554e-19,0.004092003129890332,3.849027315630816e-06,3.7471769165860654e-08,3.249202249466633e-10,4.157839638091773e-175,6.607850230295872e-20,3.774838371287223e-18,0.0018296800838069442,1.1207987538902517e-06,6.625045531569197e-08,3.005974614591965e-17,1.7316587539015053e-108,1.2891783062618573e-21,7.930005429924485e-29
165.22902,0.009175111802838715,2.0789268259324673e-05,1.6154155607772812e-06,0.00010930951206714267,1.4887955965929471e-152,4.891066443165028e-15,1.8261672576985773e-19,0.0043142747979593955,4.2342639588496666e-06,4.222115174522609e-08,3.660758664667135e-10,2.807290593048746e-174,7.995804321810192e-20,4.424978335358521e-18,0.0019292303668854937,1.2326676842300793e-06,7.324338285626031e-08,3.6361075596789173e-17,5.00660264385669e-108,1.5602907720896343e-21,1.0067102594889918e-28
